Source Titles	records	% of 6936
ECOLOGY AND EVOLUTION	301	4.340
ECOSPHERE	167	2.408
FOREST ECOLOGY AND MANAGEMENT	151	2.177
MOLECULAR ECOLOGY	147	2.119
MARINE ECOLOGY PROGRESS SERIES	133	1.918
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	125	1.802
SCIENCE OF THE TOTAL ENVIRONMENT	122	1.759
GLOBAL CHANGE BIOLOGY	120	1.730
FRONTIERS IN PLANT SCIENCE	116	1.672
ECOLOGY	115	1.658
AGRICULTURE ECOSYSTEMS ENVIRONMENT	89	1.283
JOURNAL OF BIOGEOGRAPHY	85	1.225
BIOLOGICAL CONSERVATION	83	1.197
OECOLOGIA	81	1.168
NEW PHYTOLOGIST	76	1.096
FUNCTIONAL ECOLOGY	73	1.052
JOURNAL OF EVOLUTIONARY BIOLOGY	73	1.052
ECOLOGICAL INDICATORS	70	1.009
JOURNAL OF APPLIED ECOLOGY	69	0.995
DIVERSITY AND DISTRIBUTIONS	67	0.966
BEHAVIORAL ECOLOGY	66	0.952
ECOLOGICAL APPLICATIONS	66	0.952
FORESTS	66	0.952
FRESHWATER BIOLOGY	66	0.952
JOURNAL OF ANIMAL ECOLOGY	64	0.923
METHODS IN ECOLOGY AND EVOLUTION	63	0.908
EVOLUTION	59	0.851
BIOLOGICAL INVASIONS	58	0.836
PLANT AND SOIL	57	0.822
ENVIRONMENTAL POLLUTION	56	0.807
JOURNAL OF ECOLOGY	52	0.750
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	51	0.735
FRONTIERS IN MARINE SCIENCE	48	0.692
ECOLOGICAL ENGINEERING	47	0.678
AMERICAN JOURNAL OF BOTANY	45	0.649
BIODIVERSITY AND CONSERVATION	43	0.620
CANADIAN JOURNAL OF FOREST RESEARCH	42	0.606
ECOLOGY LETTERS	42	0.606
NATURE ECOLOGY EVOLUTION	41	0.591
ENVIRONMENTAL SCIENCE TECHNOLOGY	40	0.577
GLOBAL ECOLOGY AND BIOGEOGRAPHY	39	0.562
AUSTRAL ECOLOGY	38	0.548
BIOTROPICA	37	0.533
MOLECULAR ECOLOGY RESOURCES	37	0.533
LANDSCAPE ECOLOGY	36	0.519
CHEMOSPHERE	35	0.505
JOURNAL OF INSECT CONSERVATION	35	0.505
JOURNAL OF WILDLIFE MANAGEMENT	35	0.505
MARINE POLLUTION BULLETIN	34	0.490
PLANT ECOLOGY	34	0.490
POLAR BIOLOGY	34	0.490
