Source Titles	records	% of 6936
AGRICULTURAL AND FOREST METEOROLOGY	33	0.476
ANNALS OF BOTANY	33	0.476
BIOGEOSCIENCES	33	0.476
ECOLOGICAL MODELLING	33	0.476
AMERICAN NATURALIST	32	0.461
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	31	0.447
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	30	0.433
ISME JOURNAL	30	0.433
CONSERVATION BIOLOGY	29	0.418
JOURNAL OF ENVIRONMENTAL MANAGEMENT	29	0.418
FUNGAL ECOLOGY	28	0.404
BIOLOGY LETTERS	27	0.389
ENVIRONMENTAL BIOLOGY OF FISHES	27	0.389
FRONTIERS IN ECOLOGY AND EVOLUTION	27	0.389
JOURNAL OF ENVIRONMENTAL QUALITY	26	0.375
TREE PHYSIOLOGY	26	0.375
THEORETICAL AND APPLIED GENETICS	25	0.360
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	24	0.346
JOURNAL OF PLANT ECOLOGY	24	0.346
LANDSCAPE AND URBAN PLANNING	24	0.346
PLANT PHYSIOLOGY	24	0.346
BOTANY	23	0.332
ECOLOGICAL RESEARCH	23	0.332
EVOLUTIONARY ECOLOGY	23	0.332
RESTORATION ECOLOGY	23	0.332
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	22	0.317
ENDANGERED SPECIES RESEARCH	22	0.317
EUPHYTICA	22	0.317
FLORA	22	0.317
HEREDITY	22	0.317
JOURNAL OF GREAT LAKES RESEARCH	22	0.317
RIVER RESEARCH AND APPLICATIONS	22	0.317
AOB PLANTS	21	0.303
ECOHYDROLOGY	21	0.303
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	21	0.303
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	21	0.303
WATER RESOURCES RESEARCH	21	0.303
WEED SCIENCE	21	0.303
ECOSYSTEMS	20	0.288
ENVIRONMENTAL MANAGEMENT	20	0.288
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	20	0.288
ANIMAL CONSERVATION	19	0.274
AVIAN CONSERVATION AND ECOLOGY	19	0.274
BIOGEOCHEMISTRY	19	0.274
ENVIRONMENTAL RESEARCH LETTERS	19	0.274
EUROPEAN JOURNAL OF FOREST RESEARCH	19	0.274
URBAN ECOSYSTEMS	19	0.274
ENVIRONMENTAL MODELLING SOFTWARE	18	0.260
JOURNAL OF EXPERIMENTAL BOTANY	18	0.260
TREES STRUCTURE AND FUNCTION	18	0.260
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	17	0.245
BMC ECOLOGY	17	0.245
CONSERVATION GENETICS	17	0.245
ENVIRONMENTAL MONITORING AND ASSESSMENT	17	0.245
MARINE ENVIRONMENTAL RESEARCH	17	0.245
PALEOBIOLOGY	17	0.245
REMOTE SENSING OF ENVIRONMENT	17	0.245
WATER RESEARCH	17	0.245
AMBIO	16	0.231
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	16	0.231
GLOBAL ECOLOGY AND CONSERVATION	16	0.231
INSECT CONSERVATION AND DIVERSITY	16	0.231
PHYTOPATHOLOGY	16	0.231
AFRICAN JOURNAL OF ECOLOGY	15	0.216
ANNALS OF FOREST SCIENCE	15	0.216
ARTHROPOD PLANT INTERACTIONS	15	0.216
CONSERVATION PHYSIOLOGY	15	0.216
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	15	0.216
GENETIC RESOURCES AND CROP EVOLUTION	15	0.216
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	15	0.216
JOURNAL OF FOREST RESEARCH	15	0.216
ORYX	15	0.216
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	15	0.216
RANGELAND ECOLOGY MANAGEMENT	15	0.216
BASIC AND APPLIED ECOLOGY	14	0.202
BRAZILIAN JOURNAL OF BOTANY	14	0.202
JOURNAL OF ARID ENVIRONMENTS	14	0.202
PLANT BIOLOGY	14	0.202
TREE GENETICS GENOMES	14	0.202
AQUATIC ECOLOGY	13	0.187
AQUATIC SCIENCES	13	0.187
BIRD CONSERVATION INTERNATIONAL	13	0.187
ECOTOXICOLOGY	13	0.187
ESTUARIES AND COASTS	13	0.187
FOLIA GEOBOTANICA	13	0.187
PLANT CELL AND ENVIRONMENT	13	0.187
PLANT JOURNAL	13	0.187
URBAN FORESTRY URBAN GREENING	13	0.187
COMMUNITY ECOLOGY	12	0.173
ECOHEALTH	12	0.173
FORESTRY	12	0.173
IFOREST BIOGEOSCIENCES AND FORESTRY	12	0.173
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	12	0.173
JOURNAL OF PALEOLIMNOLOGY	12	0.173
NATURE CONSERVATION BULGARIA	12	0.173
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	12	0.173
SUSTAINABILITY	12	0.173
SYSTEMATIC BOTANY	12	0.173
WILDLIFE RESEARCH	12	0.173
ATMOSPHERIC ENVIRONMENT	11	0.159
ECOLOGICAL MONOGRAPHS	11	0.159
ENVIRONMENTAL RESEARCH	11	0.159
INTERNATIONAL JOURNAL OF WILDLAND FIRE	11	0.159
JOURNAL OF CHEMICAL ECOLOGY	11	0.159
JOURNAL OF SOILS AND SEDIMENTS	11	0.159
MANAGEMENT OF BIOLOGICAL INVASIONS	11	0.159
PHYTOTAXA	11	0.159
PLANT ECOLOGY DIVERSITY	11	0.159
TROPICAL CONSERVATION SCIENCE	11	0.159
WETLANDS	11	0.159
AUSTRALIAN JOURNAL OF BOTANY	10	0.144
ENVIRONMENT INTERNATIONAL	10	0.144
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	10	0.144
NEW ZEALAND JOURNAL OF ECOLOGY	10	0.144
PLANT DISEASE	10	0.144
PLANT GENOME	10	0.144
PLANT SYSTEMATICS AND EVOLUTION	10	0.144
SEED SCIENCE RESEARCH	10	0.144
SILVA FENNICA	10	0.144
SOUTH AFRICAN JOURNAL OF BOTANY	10	0.144
WILDLIFE SOCIETY BULLETIN	10	0.144
AQUATIC BOTANY	9	0.130
AQUATIC INVASIONS	9	0.130
ECOLOGY AND SOCIETY	9	0.130
ECOSYSTEM SERVICES	9	0.130
EUROPEAN JOURNAL OF SOIL BIOLOGY	9	0.130
INTERNATIONAL JOURNAL OF PLANT SCIENCES	9	0.130
MICROBIAL ECOLOGY	9	0.130
NEW FORESTS	9	0.130
NORTHEASTERN NATURALIST	9	0.130
POPULATION ECOLOGY	9	0.130
ACTA BOTANICA BRASILICA	8	0.115
AMERICAN MIDLAND NATURALIST	8	0.115
APPLICATIONS IN PLANT SCIENCES	8	0.115
BALTIC FORESTRY	8	0.115
ECOLOGICAL INFORMATICS	8	0.115
EUROPEAN JOURNAL OF PLANT PATHOLOGY	8	0.115
EVOLUTIONARY ECOLOGY RESEARCH	8	0.115
FOREST POLICY AND ECONOMICS	8	0.115
JOURNAL OF CLEANER PRODUCTION	8	0.115
LAND DEGRADATION DEVELOPMENT	8	0.115
MARINE BIOLOGY RESEARCH	8	0.115
MOVEMENT ECOLOGY	8	0.115
PHYTOCHEMISTRY	8	0.115
PLANT METHODS	8	0.115
PLANT SPECIES BIOLOGY	8	0.115
POLAR RESEARCH	8	0.115
REVIEW OF PALAEOBOTANY AND PALYNOLOGY	8	0.115
AGROFORESTRY SYSTEMS	7	0.101
BMC PLANT BIOLOGY	7	0.101
CONSERVATION LETTERS	7	0.101
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	7	0.101
FIRE ECOLOGY	7	0.101
INVASIVE PLANT SCIENCE AND MANAGEMENT	7	0.101
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	7	0.101
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	7	0.101
MOLECULAR BREEDING	7	0.101
NATURE CLIMATE CHANGE	7	0.101
PEDOBIOLOGIA	7	0.101
PERSPECTIVES IN ECOLOGY AND CONSERVATION	7	0.101
PLANT BIOSYSTEMS	7	0.101
PLANT CELL	7	0.101
REVISTA MEXICANA DE BIODIVERSIDAD	7	0.101
WEED RESEARCH	7	0.101
ARCTIC ANTARCTIC AND ALPINE RESEARCH	6	0.087
BIODIVERSITY DATA JOURNAL	6	0.087
CLIMATE RESEARCH	6	0.087
CLIMATIC CHANGE	6	0.087
DENDROCHRONOLOGIA	6	0.087
ECOLOGICAL COMPLEXITY	6	0.087
ENVIRONMETRICS	6	0.087
FRONTIERS IN ENVIRONMENTAL SCIENCE	6	0.087
FUNCTIONAL PLANT BIOLOGY	6	0.087
JOURNAL FOR NATURE CONSERVATION	6	0.087
JOURNAL OF FORESTRY RESEARCH	6	0.087
JOURNAL OF NATURAL HISTORY	6	0.087
JOURNAL OF PLANT RESEARCH	6	0.087
PLANT BREEDING	6	0.087
PLANT PHYSIOLOGY AND BIOCHEMISTRY	6	0.087
PRESLIA	6	0.087
REGIONAL STUDIES IN MARINE SCIENCE	6	0.087
TAXON	6	0.087
TUEXENIA	6	0.087
AEROBIOLOGIA	5	0.072
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	5	0.072
ARCTIC	5	0.072
ARCTIC SCIENCE	5	0.072
ATMOSPHERIC CHEMISTRY AND PHYSICS	5	0.072
BOIS ET FORETS DES TROPIQUES	5	0.072
CALDASIA	5	0.072
CIENCIA FLORESTAL	5	0.072
ECOLOGICAL ECONOMICS	5	0.072
ENVIRONMENTAL CONSERVATION	5	0.072
ENVIRONMENTAL MICROBIOLOGY REPORTS	5	0.072
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	5	0.072
INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE	5	0.072
JOURNAL OF COASTAL RESEARCH	5	0.072
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE	5	0.072
JOURNAL OF MOUNTAIN SCIENCE	5	0.072
MIRES AND PEAT	5	0.072
NATURE PLANTS	5	0.072
NEOBIOTA	5	0.072
PHYCOLOGIA	5	0.072
PLANT ECOLOGY AND EVOLUTION	5	0.072
POLISH JOURNAL OF ECOLOGY	5	0.072
RANGELAND JOURNAL	5	0.072
REMOTE SENSING IN ECOLOGY AND CONSERVATION	5	0.072
SCIENTIA FORESTALIS	5	0.072
SOUTHEASTERN NATURALIST	5	0.072
VEGETATION HISTORY AND ARCHAEOBOTANY	5	0.072
WATER AIR AND SOIL POLLUTION	5	0.072
WESTERN NORTH AMERICAN NATURALIST	5	0.072
WETLANDS ECOLOGY AND MANAGEMENT	5	0.072
AIR QUALITY ATMOSPHERE AND HEALTH	4	0.058
AQUATIC MICROBIAL ECOLOGY	4	0.058
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	4	0.058
BIOENERGY RESEARCH	4	0.058
BIOTA NEOTROPICA	4	0.058
CHEMOECOLOGY	4	0.058
CONTEMPORARY PROBLEMS OF ECOLOGY	4	0.058
ECOSCIENCE	4	0.058
FOREST ECOSYSTEMS	4	0.058
GEOBIOLOGY	4	0.058
GLOBAL ENVIRONMENTAL CHANGE HUMAN AND POLICY DIMENSIONS	4	0.058
HORTICULTURE RESEARCH	4	0.058
INTERNATIONAL BIODETERIORATION BIODEGRADATION	4	0.058
JOURNAL OF ENVIRONMENTAL SCIENCES	4	0.058
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY	4	0.058
JOURNAL OF THE AIR WASTE MANAGEMENT ASSOCIATION	4	0.058
JOURNAL OF WATER AND HEALTH	4	0.058
KOEDOE	4	0.058
LICHENOLOGIST	4	0.058
NATURAL AREAS JOURNAL	4	0.058
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE	4	0.058
PHYTOCOENOLOGIA	4	0.058
PLANT AND CELL PHYSIOLOGY	4	0.058
PLANT CELL TISSUE AND ORGAN CULTURE	4	0.058
PLANT PATHOLOGY	4	0.058
REGIONAL ENVIRONMENTAL CHANGE	4	0.058
SCANDINAVIAN JOURNAL OF FOREST RESEARCH	4	0.058
SOUTHERN FORESTS	4	0.058
THEORETICAL ECOLOGY	4	0.058
VADOSE ZONE JOURNAL	4	0.058
ACTA PHYSIOLOGIAE PLANTARUM	3	0.043
AQUATIC ECOSYSTEM HEALTH MANAGEMENT	3	0.043
AUSTRALASIAN PLANT PATHOLOGY	3	0.043
CANADIAN FIELD NATURALIST	3	0.043
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	3	0.043
CRYPTOGAMIE ALGOLOGIE	3	0.043
ECOLOGICAL MANAGEMENT RESTORATION	3	0.043
ENERGY POLICY	3	0.043
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	3	0.043
ENVIRONMENTAL EARTH SCIENCES	3	0.043
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	3	0.043
ENVIRONMENTAL HEALTH	3	0.043
ENVIRONMENTAL MODELING ASSESSMENT	3	0.043
FOREST SCIENCE	3	0.043
FRESENIUS ENVIRONMENTAL BULLETIN	3	0.043
GLOBAL BIOGEOCHEMICAL CYCLES	3	0.043
INTERNATIONAL JOURNAL OF FOREST ENGINEERING	3	0.043
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	3	0.043
JOURNAL OF FRESHWATER ECOLOGY	3	0.043
JOURNAL OF HAZARDOUS MATERIALS	3	0.043
JOURNAL OF PHYCOLOGY	3	0.043
JOURNAL OF RADIOLOGICAL PROTECTION	3	0.043
JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION	3	0.043
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	3	0.043
MADERA Y BOSQUES	3	0.043
NORTHWEST SCIENCE	3	0.043
NOVA HEDWIGIA	3	0.043
PHYTOPARASITICA	3	0.043
PLANT BIOTECHNOLOGY JOURNAL	3	0.043
PLANT DIVERSITY	3	0.043
PLANT GENETIC RESOURCES CHARACTERIZATION AND UTILIZATION	3	0.043
PLANTA	3	0.043
POLISH JOURNAL OF ENVIRONMENTAL STUDIES	3	0.043
REVISTA ARVORE	3	0.043
SEED SCIENCE AND TECHNOLOGY	3	0.043
SOIL SCIENCE AND PLANT NUTRITION	3	0.043
SYSTEMATICS AND BIODIVERSITY	3	0.043
TROPICAL ECOLOGY	3	0.043
TROPICAL PLANT PATHOLOGY	3	0.043
WEB ECOLOGY	3	0.043
WEED TECHNOLOGY	3	0.043
ACTA AMAZONICA	2	0.029
ACTA BIOLOGICA COLOMBIANA	2	0.029
ACTA SOCIETATIS BOTANICORUM POLONIAE	2	0.029
AFRICAN JOURNAL OF WILDLIFE RESEARCH	2	0.029
ALPINE BOTANY	2	0.029
AMERICAN MUSEUM NOVITATES	2	0.029
APPLIED VEGETATION SCIENCE	2	0.029
AUSTRIAN JOURNAL OF FOREST SCIENCE	2	0.029
BIOLOGY AND ENVIRONMENT PROCEEDINGS OF THE ROYAL IRISH ACADEMY	2	0.029
BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA	2	0.029
BOSQUE	2	0.029
BOTANICAL SCIENCES	2	0.029
BOTANICAL STUDIES	2	0.029
BOTANY LETTERS	2	0.029
BOTHALIA	2	0.029
BREEDING SCIENCE	2	0.029
BRYOLOGIST	2	0.029
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	2	0.029
CANADIAN JOURNAL OF PLANT PATHOLOGY	2	0.029
CARBON BALANCE AND MANAGEMENT	2	0.029
CERNE	2	0.029
COMPARATIVE CYTOGENETICS	2	0.029
CONSERVATION GENETICS RESOURCES	2	0.029
DIVERSITY BASEL	2	0.029
EARTHS FUTURE	2	0.029
ECO MONT JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH	2	0.029
ECOGRAPHY	2	0.029
ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL	2	0.029
ENVIRONMENTAL SCIENCE NANO	2	0.029
EUROPEAN JOURNAL OF TAXONOMY	2	0.029
FOREST PATHOLOGY	2	0.029
FOREST SYSTEMS	2	0.029
FOTTEA	2	0.029
GEOCARTO INTERNATIONAL	2	0.029
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION	2	0.029
JOURNAL OF AEROSOL SCIENCE	2	0.029
JOURNAL OF INTEGRATIVE PLANT BIOLOGY	2	0.029
JOURNAL OF NATURAL PRODUCTS	2	0.029
JOURNAL OF PLANT DISEASES AND PROTECTION	2	0.029
JOURNAL OF PLANT PHYSIOLOGY	2	0.029
JOURNAL OF PLANT REGISTRATIONS	2	0.029
JOURNAL OF SOIL AND WATER CONSERVATION	2	0.029
JOURNAL OF THE TORREY BOTANICAL SOCIETY	2	0.029
JOURNAL OF WOOD SCIENCE	2	0.029
LANDSCAPE AND ECOLOGICAL ENGINEERING	2	0.029
MARINE BIODIVERSITY	2	0.029
MOLECULAR PLANT MICROBE INTERACTIONS	2	0.029
MOLECULAR PLANT PATHOLOGY	2	0.029
NEW ZEALAND JOURNAL OF BOTANY	2	0.029
PHYTOCHEMISTRY LETTERS	2	0.029
PHYTOKEYS	2	0.029
PLANT CELL REPORTS	2	0.029
PLANT SCIENCE	2	0.029
POLAR SCIENCE	2	0.029
RADIATION PROTECTION DOSIMETRY	2	0.029
RUSSIAN JOURNAL OF ECOLOGY	2	0.029
THEORETICAL POPULATION BIOLOGY	2	0.029
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY	2	0.029
VIE ET MILIEU LIFE AND ENVIRONMENT	2	0.029
WASTE MANAGEMENT	2	0.029
WEED BIOLOGY AND MANAGEMENT	2	0.029
WOOD SCIENCE AND TECHNOLOGY	2	0.029
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	1	0.014
ACTA BOTANICA MEXICANA	1	0.014
ACTA PHYTOTAXONOMICA ET GEOBOTANICA	1	0.014
ADVANCES IN ECOLOGICAL RESEARCH	1	0.014
AEROSOL AND AIR QUALITY RESEARCH	1	0.014
AFRICAN JOURNAL OF RANGE FORAGE SCIENCE	1	0.014
AGRONOMY BASEL	1	0.014
ALLGEMEINE FORST UND JAGDZEITUNG	1	0.014
AMERICAN FERN JOURNAL	1	0.014
ANIMAL BIODIVERSITY AND CONSERVATION	1	0.014
ANNALES BOTANICI FENNICI	1	0.014
ANNALI DI BOTANICA	1	0.014
ANNALS OF THE MISSOURI BOTANICAL GARDEN	1	0.014
ANTHROPOCENE	1	0.014
ATMOSPHERIC POLLUTION RESEARCH	1	0.014
BIOINVASIONS RECORDS	1	0.014
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY	1	0.014
CARBON MANAGEMENT	1	0.014
CASTANEA	1	0.014
CLEAN SOIL AIR WATER	1	0.014
CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY	1	0.014
DENDROBIOLOGY	1	0.014
ECOLOGICAL CHEMISTRY AND ENGINEERING S CHEMIA I INZYNIERIA EKOLOGICZNA S	1	0.014
ECOLOGICAL PROCESSES	1	0.014
ECONOMIC BOTANY	1	0.014
ECOSYSTEM HEALTH AND SUSTAINABILITY	1	0.014
ELEMENTA SCIENCE OF THE ANTHROPOCENE	1	0.014
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY	1	0.014
ENVIRONMENTAL ARCHAEOLOGY	1	0.014
ENVIRONMENTAL ENGINEERING SCIENCE	1	0.014
ENVIRONMENTAL EVIDENCE	1	0.014
ENVIRONMENTAL PROGRESS SUSTAINABLE ENERGY	1	0.014
ENVIRONMENTAL SCIENCE POLICY	1	0.014
ENVIRONMENTAL SCIENCE PROCESSES IMPACTS	1	0.014
ENVIRONMENTAL SCIENCES EUROPE	1	0.014
ENVIRONMENTAL TECHNOLOGY	1	0.014
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY	1	0.014
EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS	1	0.014
FOOD AND ENVIRONMENTAL VIROLOGY	1	0.014
FORESTRY CHRONICLE	1	0.014
FRONTIERS OF ENVIRONMENTAL SCIENCE ENGINEERING	1	0.014
GEOHEALTH	1	0.014
GLOBAL NEST JOURNAL	1	0.014
HEALTH PHYSICS	1	0.014
INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT	1	0.014
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH	1	0.014
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH	1	0.014
INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT	1	0.014
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES	1	0.014
ISRAEL JOURNAL OF ECOLOGY EVOLUTION	1	0.014
ISRAEL JOURNAL OF PLANT SCIENCES	1	0.014
JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS	1	0.014
JOURNAL OF ARID LAND	1	0.014
JOURNAL OF ATMOSPHERIC CHEMISTRY	1	0.014
JOURNAL OF BRYOLOGY	1	0.014
JOURNAL OF COASTAL CONSERVATION	1	0.014
JOURNAL OF CONTAMINANT HYDROLOGY	1	0.014
JOURNAL OF FOREST ECONOMICS	1	0.014
JOURNAL OF FORESTRY	1	0.014
JOURNAL OF HYDROINFORMATICS	1	0.014
JOURNAL OF HYDROLOGIC ENGINEERING	1	0.014
JOURNAL OF INDUSTRIAL ECOLOGY	1	0.014
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE	1	0.014
JOURNAL OF PHYTOPATHOLOGY	1	0.014
JOURNAL OF PLANT INTERACTIONS	1	0.014
JOURNAL OF PLANT PATHOLOGY	1	0.014
JOURNAL OF SUSTAINABLE FORESTRY	1	0.014
JOURNAL OF SYSTEMATICS AND EVOLUTION	1	0.014
JOURNAL OF TROPICAL FOREST SCIENCE	1	0.014
MAMMAL REVIEW	1	0.014
MICROBIAL RISK ANALYSIS	1	0.014
MOLECULAR PLANT	1	0.014
MOUNTAIN RESEARCH AND DEVELOPMENT	1	0.014
NETWORKS OF INVASION A SYNTHESIS OF CONCEPTS	1	0.014
NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ NAPOCA	1	0.014
PAKISTAN JOURNAL OF BOTANY	1	0.014
PALYNOLOGY	1	0.014
PHARMACEUTICAL BIOLOGY	1	0.014
PHYSICAL GEOGRAPHY	1	0.014
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY	1	0.014
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS	1	0.014
PHYTON INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY	1	0.014
PHYTOPATHOLOGIA MEDITERRANEA	1	0.014
PLANT BIOTECHNOLOGY	1	0.014
PLANT DIRECT	1	0.014
PLANT FOODS FOR HUMAN NUTRITION	1	0.014
PLANT GROWTH REGULATION	1	0.014
PLANT MOLECULAR BIOLOGY	1	0.014
PLANT MOLECULAR BIOLOGY REPORTER	1	0.014
PLANT PROTECTION SCIENCE	1	0.014
PLANTS BASEL	1	0.014
POLAR RECORD	1	0.014
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA	1	0.014
PROTOPLASMA	1	0.014
RADIOPROTECTION	1	0.014
RESOURCES CONSERVATION AND RECYCLING	1	0.014
REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE	1	0.014
REVISTA CHILENA DE HISTORIA NATURAL	1	0.014
REVUE D ECOLOGIE LA TERRE ET LA VIE	1	0.014
RHIZOSPHERE	1	0.014
RICE SCIENCE	1	0.014
SAR AND QSAR IN ENVIRONMENTAL RESEARCH	1	0.014
SILVAE GENETICA	1	0.014
TAIWANIA	1	0.014
TROPICAL GRASSLANDS FORRAJES TROPICALES	1	0.014
TURKISH JOURNAL OF AGRICULTURE AND FORESTRY	1	0.014
URBAN CLIMATE	1	0.014
WATER ENVIRONMENT RESEARCH	1	0.014
WATER SCIENCE AND TECHNOLOGY	1	0.014
WATER SCIENCE AND TECHNOLOGY WATER SUPPLY	1	0.014
WILDLIFE MONOGRAPHS	1	0.014
WILLDENOWIA	1	0.014
WOOD AND FIBER SCIENCE	1	0.014
(0 records (0.000%) do not contain data in the field being analyzed.)
