Source Titles	records	% of 5154
ECOLOGICAL MONOGRAPHS	10	0.194
ENVIRONMENTAL RESEARCH	10	0.194
FOLIA GEOBOTANICA	10	0.194
IFOREST BIOGEOSCIENCES AND FORESTRY	10	0.194
PHYTOPATHOLOGY	10	0.194
PLANT CELL AND ENVIRONMENT	10	0.194
WETLANDS ECOLOGY AND MANAGEMENT	10	0.194
AFRICAN JOURNAL OF WILDLIFE RESEARCH	9	0.175
AMERICAN MIDLAND NATURALIST	9	0.175
AQUATIC ECOLOGY	9	0.175
CLIMATE RESEARCH	9	0.175
CLIMATIC CHANGE	9	0.175
ECOLOGICAL COMPLEXITY	9	0.175
FORESTRY	9	0.175
JOURNAL OF ENVIRONMENTAL QUALITY	9	0.175
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	9	0.175
JOURNAL OF PLANT ECOLOGY	9	0.175
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	9	0.175
TROPICAL CONSERVATION SCIENCE	9	0.175
AMBIO	8	0.155
AQUATIC MICROBIAL ECOLOGY	8	0.155
AUSTRALIAN JOURNAL OF BOTANY	8	0.155
COMMUNITY ECOLOGY	8	0.155
ECOTOXICOLOGY	8	0.155
ENVIRONMETRICS	8	0.155
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	8	0.155
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	8	0.155
JOURNAL OF PALEOLIMNOLOGY	8	0.155
NATURAL AREAS JOURNAL	8	0.155
PLANT DISEASE	8	0.155
PLANT GENOME	8	0.155
AFRICAN JOURNAL OF ECOLOGY	7	0.136
AQUATIC SCIENCES	7	0.136
ARCTIC ANTARCTIC AND ALPINE RESEARCH	7	0.136
BIOENERGY RESEARCH	7	0.136
ECOHYDROLOGY	7	0.136
ECOSYSTEM SERVICES	7	0.136
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	7	0.136
ENVIRONMENT INTERNATIONAL	7	0.136
ENVIRONMENTAL MICROBIOLOGY REPORTS	7	0.136
GLOBAL BIOGEOCHEMICAL CYCLES	7	0.136
JOURNAL OF NATURAL HISTORY	7	0.136
PHYTOCHEMISTRY	7	0.136
PLANT PHYSIOLOGY	7	0.136
PLANT SPECIES BIOLOGY	7	0.136
SILVA FENNICA	7	0.136
ALPINE BOTANY	6	0.116
ATMOSPHERIC CHEMISTRY AND PHYSICS	6	0.116
BIOCHEMICAL SYSTEMATICS AND ECOLOGY	6	0.116
BIOTA NEOTROPICA	6	0.116
BOSQUE	6	0.116
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	6	0.116
ECOHEALTH	6	0.116
ECOLOGICAL INFORMATICS	6	0.116
