Source Titles	records	% of 8673
ECOLOGY AND EVOLUTION	391	4.508
SCIENCE OF THE TOTAL ENVIRONMENT	271	3.125
ECOSPHERE	189	2.179
FRONTIERS IN PLANT SCIENCE	172	1.983
MARINE ECOLOGY PROGRESS SERIES	157	1.810
GLOBAL CHANGE BIOLOGY	156	1.799
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	155	1.787
FOREST ECOLOGY AND MANAGEMENT	151	1.741
MOLECULAR ECOLOGY	129	1.487
JOURNAL OF APPLIED ECOLOGY	126	1.453
BIOLOGICAL CONSERVATION	125	1.441
ECOLOGY	114	1.314
ECOLOGICAL INDICATORS	107	1.234
FUNCTIONAL ECOLOGY	107	1.234
OECOLOGIA	105	1.211
JOURNAL OF ECOLOGY	98	1.130
FORESTS	97	1.118
JOURNAL OF BIOGEOGRAPHY	95	1.095
METHODS IN ECOLOGY AND EVOLUTION	89	1.026
ECOLOGICAL APPLICATIONS	87	1.003
AGRICULTURE ECOSYSTEMS ENVIRONMENT	84	0.969
EVOLUTION	79	0.911
BIOLOGICAL INVASIONS	78	0.899
FRONTIERS IN MARINE SCIENCE	76	0.876
DIVERSITY AND DISTRIBUTIONS	73	0.842
ENVIRONMENTAL POLLUTION	72	0.830
BEHAVIORAL ECOLOGY	69	0.796
GLOBAL ECOLOGY AND BIOGEOGRAPHY	69	0.796
JOURNAL OF EVOLUTIONARY BIOLOGY	69	0.796
FRONTIERS IN ECOLOGY AND EVOLUTION	67	0.773
JOURNAL OF ANIMAL ECOLOGY	66	0.761
ECOLOGY LETTERS	63	0.726
PLANT AND SOIL	63	0.726
BIODIVERSITY AND CONSERVATION	59	0.680
AMERICAN JOURNAL OF BOTANY	58	0.669
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	58	0.669
MARINE POLLUTION BULLETIN	57	0.657
FRESHWATER BIOLOGY	55	0.634
JOURNAL OF ENVIRONMENTAL MANAGEMENT	51	0.588
NATURE ECOLOGY EVOLUTION	51	0.588
MARINE ENVIRONMENTAL RESEARCH	47	0.542
ENVIRONMENTAL SCIENCE TECHNOLOGY	45	0.519
NEW PHYTOLOGIST	45	0.519
LANDSCAPE ECOLOGY	44	0.507
AGRICULTURAL AND FOREST METEOROLOGY	43	0.496
JOURNAL OF WILDLIFE MANAGEMENT	43	0.496
SUSTAINABILITY	43	0.496
CANADIAN JOURNAL OF FOREST RESEARCH	42	0.484
MOLECULAR ECOLOGY RESOURCES	42	0.484
RESTORATION ECOLOGY	41	0.473
BIOTROPICA	40	0.461
BIOGEOSCIENCES	39	0.450
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	39	0.450
ANNALS OF BOTANY	38	0.438
ECOLOGICAL MODELLING	37	0.427
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	37	0.427
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	36	0.415
BIOLOGY LETTERS	36	0.415
GLOBAL ECOLOGY AND CONSERVATION	35	0.404
WATER RESEARCH	35	0.404
AMERICAN NATURALIST	34	0.392
LANDSCAPE AND URBAN PLANNING	34	0.392
CONSERVATION BIOLOGY	33	0.380
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	32	0.369
POLAR BIOLOGY	32	0.369
AUSTRAL ECOLOGY	31	0.357
ECOLOGICAL ENGINEERING	31	0.357
PLANT ECOLOGY	31	0.357
TREE PHYSIOLOGY	31	0.357
AFRICAN JOURNAL OF ECOLOGY	30	0.346
BASIC AND APPLIED ECOLOGY	30	0.346
ECOSYSTEMS	30	0.346
ISME JOURNAL	30	0.346
LAND DEGRADATION DEVELOPMENT	30	0.346
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	29	0.334
CHEMOSPHERE	29	0.334
ENVIRONMENT INTERNATIONAL	29	0.334
ENVIRONMENTAL BIOLOGY OF FISHES	29	0.334
INSECT CONSERVATION AND DIVERSITY	28	0.323
WATER RESOURCES RESEARCH	28	0.323
ENVIRONMENTAL RESEARCH LETTERS	27	0.311
ESTUARIES AND COASTS	27	0.311
ENDANGERED SPECIES RESEARCH	26	0.300
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	26	0.300
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	26	0.300
PLANT BIOLOGY	26	0.300
JOURNAL OF GREAT LAKES RESEARCH	25	0.288
URBAN FORESTRY URBAN GREENING	24	0.277
AOB PLANTS	23	0.265
CONSERVATION GENETICS	23	0.265
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	23	0.265
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	23	0.265
THEORETICAL AND APPLIED GENETICS	23	0.265
ECOSYSTEM SERVICES	22	0.254
ENVIRONMENTAL MONITORING AND ASSESSMENT	22	0.254
FUNGAL ECOLOGY	22	0.254
JOURNAL OF ENVIRONMENTAL QUALITY	22	0.254
JOURNAL OF PLANT ECOLOGY	22	0.254
MICROBIAL ECOLOGY	22	0.254
REMOTE SENSING OF ENVIRONMENT	22	0.254
WILDLIFE SOCIETY BULLETIN	22	0.254
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	21	0.242
HEREDITY	21	0.242
RIVER RESEARCH AND APPLICATIONS	21	0.242
ANNALS OF FOREST SCIENCE	20	0.231
FRONTIERS IN ENVIRONMENTAL SCIENCE	20	0.231
JOURNAL OF ARID ENVIRONMENTS	20	0.231
JOURNAL OF CHEMICAL ECOLOGY	20	0.231
JOURNAL OF INSECT CONSERVATION	20	0.231
URBAN ECOSYSTEMS	20	0.231
WILDLIFE RESEARCH	20	0.231
ENVIRONMENTAL MODELLING SOFTWARE	19	0.219
PLANT ECOLOGY DIVERSITY	19	0.219
REVISTA MEXICANA DE BIODIVERSIDAD	19	0.219
TREES STRUCTURE AND FUNCTION	19	0.219
ARTHROPOD PLANT INTERACTIONS	18	0.208
AUSTRALIAN JOURNAL OF BOTANY	18	0.208
AVIAN CONSERVATION AND ECOLOGY	18	0.208
ECOLOGICAL MONOGRAPHS	18	0.208
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	18	0.208
FLORA	18	0.208
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	18	0.208
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	18	0.208
PLANT GENOME	18	0.208
BIOGEOCHEMISTRY	17	0.196
PLANT PATHOLOGY	17	0.196
TROPICAL CONSERVATION SCIENCE	17	0.196
WEED SCIENCE	17	0.196
ACTA BOTANICA BRASILICA	16	0.184
ANIMAL CONSERVATION	16	0.184
AQUATIC BOTANY	16	0.184
CONSERVATION PHYSIOLOGY	16	0.184
DENDROCHRONOLOGIA	16	0.184
EUPHYTICA	16	0.184
FORESTRY	16	0.184
IFOREST BIOGEOSCIENCES AND FORESTRY	16	0.184
PALEOBIOLOGY	16	0.184
PLANT DISEASE	16	0.184
BOTANY	15	0.173
ECOLOGICAL RESEARCH	15	0.173
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	15	0.173
NEW ZEALAND JOURNAL OF ECOLOGY	15	0.173
PLANT CELL AND ENVIRONMENT	15	0.173
RANGELAND ECOLOGY MANAGEMENT	15	0.173
BIRD CONSERVATION INTERNATIONAL	14	0.161
CONSERVATION LETTERS	14	0.161
ECOHYDROLOGY	14	0.161
ECOLOGICAL ECONOMICS	14	0.161
ECOLOGY AND SOCIETY	14	0.161
EVOLUTIONARY ECOLOGY RESEARCH	14	0.161
INTERNATIONAL JOURNAL OF WILDLAND FIRE	14	0.161
MOLECULAR BREEDING	14	0.161
ORYX	14	0.161
PLANT PHYSIOLOGY	14	0.161
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	14	0.161
