Source Titles	records	% of 10454
PLANT BIOLOGY	34	0.325
AGROFORESTRY SYSTEMS	33	0.316
CONSERVATION GENETICS	33	0.316
FLORA	33	0.316
BASIC AND APPLIED ECOLOGY	32	0.306
ENVIRONMENTAL MONITORING AND ASSESSMENT	32	0.306
BIOGEOSCIENCES	31	0.297
ENVIRONMENTAL RESEARCH	31	0.297
HEREDITY	31	0.297
NATURE ECOLOGY EVOLUTION	31	0.297
REMOTE SENSING OF ENVIRONMENT	31	0.297
ECOLOGICAL ENGINEERING	30	0.287
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	30	0.287
PLANT DISEASE	30	0.287
TREE PHYSIOLOGY	30	0.287
URBAN ECOSYSTEMS	30	0.287
JOURNAL OF INSECT CONSERVATION	29	0.277
MARINE ENVIRONMENTAL RESEARCH	28	0.268
RANGELAND ECOLOGY MANAGEMENT	28	0.268
URBAN FORESTRY URBAN GREENING	28	0.268
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	27	0.258
CONSERVATION PHYSIOLOGY	27	0.258
ECOHYDROLOGY	27	0.258
ECOLOGICAL RESEARCH	27	0.258
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	27	0.258
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	27	0.258
JOURNAL OF PLANT ECOLOGY	27	0.258
INSECT CONSERVATION AND DIVERSITY	26	0.249
PLANT ECOLOGY	26	0.249
APPLIED VEGETATION SCIENCE	25	0.239
ECOLOGICAL MONOGRAPHS	25	0.239
WATER RESOURCES RESEARCH	25	0.239
ATMOSPHERIC ENVIRONMENT	24	0.230
ENDANGERED SPECIES RESEARCH	24	0.230
FOREST SCIENCE	24	0.230
JOURNAL OF ENVIRONMENTAL QUALITY	24	0.230
ORYX	24	0.230
WILDLIFE RESEARCH	24	0.230
AVIAN CONSERVATION AND ECOLOGY	23	0.220
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	23	0.220
ESTUARIES AND COASTS	23	0.220
MICROBIAL ECOLOGY	23	0.220
NEOBIOTA	23	0.220
BMC PLANT BIOLOGY	22	0.210
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	22	0.210
JOURNAL OF CHEMICAL ECOLOGY	22	0.210
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	22	0.210
PLANT CELL AND ENVIRONMENT	22	0.210
ACTA BOTANICA BRASILICA	21	0.201
AFRICAN JOURNAL OF ECOLOGY	21	0.201
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	21	0.201
DENDROCHRONOLOGIA	21	0.201
JOURNAL OF ARID ENVIRONMENTS	21	0.201
JOURNAL OF EXPERIMENTAL BOTANY	21	0.201
JOURNAL OF PHYCOLOGY	21	0.201
PLANT PATHOLOGY	21	0.201
PLANT PHYSIOLOGY	21	0.201
ANNALS OF FOREST SCIENCE	20	0.191
ARTHROPOD PLANT INTERACTIONS	20	0.191
WILDLIFE SOCIETY BULLETIN	20	0.191
AQUATIC SCIENCES	19	0.182
BIOGEOCHEMISTRY	19	0.182
ENVIRONMENTAL MODELLING SOFTWARE	19	0.182
EVOLUTIONARY ECOLOGY	19	0.182
IFOREST BIOGEOSCIENCES AND FORESTRY	19	0.182
RIVER RESEARCH AND APPLICATIONS	19	0.182
WETLANDS	19	0.182
AOB PLANTS	18	0.172
NORTHEASTERN NATURALIST	18	0.172
POPULATION ECOLOGY	18	0.172
EUROPEAN JOURNAL OF FOREST RESEARCH	17	0.163
FORESTRY	17	0.163
PALEOBIOLOGY	17	0.163
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	17	0.163
AQUATIC ECOLOGY	16	0.153
BIRD CONSERVATION INTERNATIONAL	16	0.153
CONSERVATION LETTERS	16	0.153
FRONTIERS IN ENVIRONMENTAL SCIENCE	16	0.153
JOURNAL OF GREAT LAKES RESEARCH	16	0.153
AQUATIC BOTANY	15	0.143
INTERNATIONAL JOURNAL OF WILDLAND FIRE	15	0.143
PLANT ECOLOGY DIVERSITY	15	0.143
PLANT JOURNAL	15	0.143
TREES STRUCTURE AND FUNCTION	15	0.143
WEED RESEARCH	15	0.143
BMC ECOLOGY	14	0.134
GENETIC RESOURCES AND CROP EVOLUTION	14	0.134
JOURNAL OF PALEOLIMNOLOGY	14	0.134
LAND DEGRADATION DEVELOPMENT	14	0.134
MARINE BIODIVERSITY	14	0.134
PLANT GENOME	14	0.134
JOURNAL OF NATURAL HISTORY	13	0.124
JOURNAL OF SOILS AND SEDIMENTS	13	0.124
PLANT BREEDING	13	0.124
PLANT SYSTEMATICS AND EVOLUTION	13	0.124
REGIONAL ENVIRONMENTAL CHANGE	13	0.124
REMOTE SENSING IN ECOLOGY AND CONSERVATION	13	0.124
REVISTA MEXICANA DE BIODIVERSIDAD	13	0.124
SOUTH AFRICAN JOURNAL OF BOTANY	13	0.124
AUSTRALIAN JOURNAL OF BOTANY	12	0.115
BOTANY	12	0.115
ECOLOGICAL INFORMATICS	12	0.115
ENERGY POLICY	12	0.115
EUPHYTICA	12	0.115
INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE	12	0.115
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	12	0.115
INTERNATIONAL JOURNAL OF PLANT SCIENCES	12	0.115
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	12	0.115
PLANTS BASEL	12	0.115
REGIONAL STUDIES IN MARINE SCIENCE	12	0.115
SOUTHEASTERN NATURALIST	12	0.115
SOUTHERN FORESTS	12	0.115
APPLICATIONS IN PLANT SCIENCES	11	0.105
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	11	0.105
ECOHEALTH	11	0.105
ECOSYSTEM SERVICES	11	0.105
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	11	0.105
FIRE ECOLOGY	11	0.105
FRESHWATER SCIENCE	11	0.105
JOURNAL OF CLEANER PRODUCTION	11	0.105
JOURNAL OF FOREST RESEARCH	11	0.105
MANAGEMENT OF BIOLOGICAL INVASIONS	11	0.105
PLANTA	11	0.105
WASTE MANAGEMENT	11	0.105
AMERICAN MIDLAND NATURALIST	10	0.096
COMMUNITY ECOLOGY	10	0.096
ENVIRONMENTAL SCIENCE POLICY	10	0.096
FOREST PATHOLOGY	10	0.096
GLOBAL BIOGEOCHEMICAL CYCLES	10	0.096
JOURNAL OF FORESTRY RESEARCH	10	0.096
LANDSCAPE AND ECOLOGICAL ENGINEERING	10	0.096
NATURE CLIMATE CHANGE	10	0.096
NATURE PLANTS	10	0.096
PLANT BIOSYSTEMS	10	0.096
SCANDINAVIAN JOURNAL OF FOREST RESEARCH	10	0.096
TROPICAL CONSERVATION SCIENCE	10	0.096
TROPICAL PLANT PATHOLOGY	10	0.096
TUEXENIA	10	0.096
AMBIO	9	0.086
AQUATIC INVASIONS	9	0.086
AQUATIC MICROBIAL ECOLOGY	9	0.086
ARCTIC ANTARCTIC AND ALPINE RESEARCH	9	0.086
ATMOSPHERIC CHEMISTRY AND PHYSICS	9	0.086
BOTANICAL SCIENCES	9	0.086
CERNE	9	0.086
FOREST POLICY AND ECONOMICS	9	0.086
INVASIVE PLANT SCIENCE AND MANAGEMENT	9	0.086
JOURNAL FOR NATURE CONSERVATION	9	0.086
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	9	0.086
JOURNAL OF FRESHWATER ECOLOGY	9	0.086
MARINE BIOLOGY RESEARCH	9	0.086
MOVEMENT ECOLOGY	9	0.086
NATURE CONSERVATION BULGARIA	9	0.086
NEW FORESTS	9	0.086
PEDOBIOLOGIA	9	0.086
PLANT BIOTECHNOLOGY JOURNAL	9	0.086
PLANT PHYSIOLOGY AND BIOCHEMISTRY	9	0.086
SILVA FENNICA	9	0.086
ACTA BOTANICA MEXICANA	8	0.077
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	8	0.077
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	8	0.077
ECOTOXICOLOGY	8	0.077
ENVIRONMENTAL CONSERVATION	8	0.077
ENVIRONMENTAL EARTH SCIENCES	8	0.077
ENVIRONMENTAL MANAGEMENT	8	0.077
EUROPEAN JOURNAL OF PLANT PATHOLOGY	8	0.077
FOREST ECOSYSTEMS	8	0.077
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	8	0.077
INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT	8	0.077
MAMMAL REVIEW	8	0.077
MIRES AND PEAT	8	0.077
WETLANDS ECOLOGY AND MANAGEMENT	8	0.077
BREEDING SCIENCE	7	0.067
ECOLOGICAL COMPLEXITY	7	0.067
ECOLOGICAL MANAGEMENT RESTORATION	7	0.067
ECOLOGY AND SOCIETY	7	0.067
ECOSCIENCE	7	0.067
ENVIRONMETRICS	7	0.067
FUNCTIONAL PLANT BIOLOGY	7	0.067
GEOMICROBIOLOGY JOURNAL	7	0.067
HUMAN WILDLIFE INTERACTIONS	7	0.067
JOURNAL OF COASTAL RESEARCH	7	0.067
NATURAL AREAS JOURNAL	7	0.067
NEW ZEALAND JOURNAL OF ECOLOGY	7	0.067
PHYTOTAXA	7	0.067
SYSTEMATICS AND BIODIVERSITY	7	0.067
TAXON	7	0.067
TREE GENETICS GENOMES	7	0.067
WATER SCIENCE AND TECHNOLOGY WATER SUPPLY	7	0.067
BIOENERGY RESEARCH	6	0.057
BIOTA NEOTROPICA	6	0.057
BOIS ET FORETS DES TROPIQUES	6	0.057
CALDASIA	6	0.057
ENVIRONMENTAL SCIENCE WATER RESEARCH TECHNOLOGY	6	0.057
GEOBIOLOGY	6	0.057
JOURNAL OF COASTAL CONSERVATION	6	0.057
JOURNAL OF PLANT REGISTRATIONS	6	0.057
JOURNAL OF THE TORREY BOTANICAL SOCIETY	6	0.057
MOLECULAR PLANT MICROBE INTERACTIONS	6	0.057
NORTHWEST SCIENCE	6	0.057
POLAR RESEARCH	6	0.057
PRESLIA	6	0.057
REVIEW OF PALAEOBOTANY AND PALYNOLOGY	6	0.057
THEORETICAL ECOLOGY	6	0.057
TROPICAL ECOLOGY	6	0.057
VEGETATION HISTORY AND ARCHAEOBOTANY	6	0.057
ALPINE BOTANY	5	0.048
ANIMAL BIODIVERSITY AND CONSERVATION	5	0.048
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	5	0.048
AUSTRALASIAN PLANT PATHOLOGY	5	0.048
BOTANY LETTERS	5	0.048
CHEMOECOLOGY	5	0.048
ECOLOGICAL ECONOMICS	5	0.048
ENVIRONMENTAL SCIENCE PROCESSES IMPACTS	5	0.048
FOLIA GEOBOTANICA	5	0.048
FOREST SYSTEMS	5	0.048
FORESTRY CHRONICLE	5	0.048
GEOCARTO INTERNATIONAL	5	0.048
JOURNAL OF APPLIED REMOTE SENSING	5	0.048
JOURNAL OF HAZARDOUS MATERIALS	5	0.048
JOURNAL OF PLANT PHYSIOLOGY	5	0.048
JOURNAL OF PLANT RESEARCH	5	0.048
JOURNAL OF SYSTEMATICS AND EVOLUTION	5	0.048
MADERA Y BOSQUES	5	0.048
MICROBIAL RISK ANALYSIS	5	0.048
MOLECULAR BREEDING	5	0.048
MOLECULAR PLANT PATHOLOGY	5	0.048
PLANT CELL	5	0.048
PLANT DIRECT	5	0.048
PLANT ECOLOGY AND EVOLUTION	5	0.048
PLANT GENETIC RESOURCES CHARACTERIZATION AND UTILIZATION	5	0.048
PLANT SCIENCE	5	0.048
PLANT SPECIES BIOLOGY	5	0.048
RANGELAND JOURNAL	5	0.048
SCIENTIA FORESTALIS	5	0.048
SEED SCIENCE RESEARCH	5	0.048
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	5	0.048
SYSTEMATIC BOTANY	5	0.048
VADOSE ZONE JOURNAL	5	0.048
WATER ENVIRONMENT RESEARCH	5	0.048
WATER SCIENCE AND TECHNOLOGY	5	0.048
WEED SCIENCE	5	0.048
BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA	4	0.038
BOSQUE	4	0.038
BOTANICAL STUDIES	4	0.038
CASTANEA	4	0.038
CLIMATE RESEARCH	4	0.038
EARTHS FUTURE	4	0.038
EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS	4	0.038
EVOLUTIONARY ECOLOGY RESEARCH	4	0.038
GAYANA BOTANICA	4	0.038
GEOHEALTH	4	0.038
HOLZFORSCHUNG	4	0.038
IAWA JOURNAL	4	0.038
INDIAN JOURNAL OF GENETICS AND PLANT BREEDING	4	0.038
INTERNATIONAL BIODETERIORATION BIODEGRADATION	4	0.038
JOURNAL OF ARID LAND	4	0.038
JOURNAL OF BRYOLOGY	4	0.038
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE	4	0.038
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY	4	0.038
JOURNAL OF PHYTOPATHOLOGY	4	0.038
JOURNAL OF PLANT NUTRITION	4	0.038
JOURNAL OF SOIL AND WATER CONSERVATION	4	0.038
JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION	4	0.038
JOURNAL OF TROPICAL FOREST SCIENCE	4	0.038
LICHENOLOGIST	4	0.038
NANOIMPACT	4	0.038
PHYSIOLOGIA PLANTARUM	4	0.038
PHYTOPATHOLOGIA MEDITERRANEA	4	0.038
PLANT CELL TISSUE AND ORGAN CULTURE	4	0.038
PLANT DIVERSITY	4	0.038
PLANT METHODS	4	0.038
TREE RING RESEARCH	4	0.038
WATER AIR AND SOIL POLLUTION	4	0.038
WEED TECHNOLOGY	4	0.038
WESTERN NORTH AMERICAN NATURALIST	4	0.038
WILLDENOWIA	4	0.038
ACTA AMAZONICA	3	0.029
ADVANCES IN ECOLOGICAL RESEARCH	3	0.029
AEROBIOLOGIA	3	0.029
AFRICAN JOURNAL OF RANGE FORAGE SCIENCE	3	0.029
AQUATIC ECOSYSTEM HEALTH MANAGEMENT	3	0.029
ARCTIC SCIENCE	3	0.029
ATMOSPHERIC POLLUTION RESEARCH	3	0.029
BIODIVERSITY DATA JOURNAL	3	0.029
BRAZILIAN JOURNAL OF BOTANY	3	0.029
BRITTONIA	3	0.029
BRYOLOGIST	3	0.029
CANADIAN JOURNAL OF PLANT SCIENCE	3	0.029
CIENCIA FLORESTAL	3	0.029
CLIMATIC CHANGE	3	0.029
ECOHYDROLOGY HYDROBIOLOGY	3	0.029
ECOLOGICAL RESTORATION	3	0.029
ECONOMIC BOTANY	3	0.029
ELEMENTA SCIENCE OF THE ANTHROPOCENE	3	0.029
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	3	0.029
ENVIRONMENTAL SCIENCE TECHNOLOGY LETTERS	3	0.029
ENVIRONMENTAL SCIENCES EUROPE	3	0.029
EUROPEAN JOURNAL OF PHYCOLOGY	3	0.029
FRESENIUS ENVIRONMENTAL BULLETIN	3	0.029
GLOBAL ENVIRONMENTAL CHANGE HUMAN AND POLICY DIMENSIONS	3	0.029
HORTICULTURE RESEARCH	3	0.029
HUMAN DIMENSIONS OF WILDLIFE	3	0.029
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION	3	0.029
JOURNAL OF ENVIRONMENTAL SCIENCES	3	0.029
JOURNAL OF ETHNOPHARMACOLOGY	3	0.029
JOURNAL OF FLOOD RISK MANAGEMENT	3	0.029
JOURNAL OF HYDROLOGIC ENGINEERING	3	0.029
JOURNAL OF PLANT DISEASES AND PROTECTION	3	0.029
JOURNAL OF SUSTAINABLE FORESTRY	3	0.029
JOURNAL OF THE AIR WASTE MANAGEMENT ASSOCIATION	3	0.029
MECHANISMS UNDERLYING THE RELATIONSHIP BETWEEN BIODIVERSITY AND ECOSYSTEM FUNCTION	3	0.029
MOLECULAR PLANT	3	0.029
PERSPECTIVES IN ECOLOGY AND CONSERVATION	3	0.029
PHOTOSYNTHETICA	3	0.029
PHYCOLOGIA	3	0.029
PHYTOCOENOLOGIA	3	0.029
PLANTA DANINHA	3	0.029
REVISTA ARVORE	3	0.029
RHODORA	3	0.029
SMALL SCALE FORESTRY	3	0.029
TURKISH JOURNAL OF BOTANY	3	0.029
ACTA BIOLOGICA COLOMBIANA	2	0.019
AEROSOL AND AIR QUALITY RESEARCH	2	0.019
AMERICAN FERN JOURNAL	2	0.019
AMERICAN MUSEUM NOVITATES	2	0.019
ANNALES ZOOLOGICI FENNICI	2	0.019
ANNALS OF THE MISSOURI BOTANICAL GARDEN	2	0.019
ANTHROPOCENE	2	0.019
ARCTIC	2	0.019
ARID LAND RESEARCH AND MANAGEMENT	2	0.019
BALTIC FORESTRY	2	0.019
BIOINVASIONS RECORDS	2	0.019
BOTHALIA	2	0.019
CARBON BALANCE AND MANAGEMENT	2	0.019
CONSERVATION GENETICS RESOURCES	2	0.019
CRYPTOGAMIE ALGOLOGIE	2	0.019
ECOLOGICAL PROCESSES	2	0.019
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY	2	0.019
ENVIRONMENTAL DEVELOPMENT	2	0.019
ENVIRONMENTAL EVIDENCE	2	0.019
ENVIRONMENTAL MODELING ASSESSMENT	2	0.019
ENVIRONMENTAL TECHNOLOGY	2	0.019
EUROPEAN JOURNAL OF SOIL BIOLOGY	2	0.019
EUROPEAN JOURNAL OF TAXONOMY	2	0.019
GLOBAL NEST JOURNAL	2	0.019
GRANA	2	0.019
HEALTH PHYSICS	2	0.019
INTERCIENCIA	2	0.019
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION	2	0.019
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH	2	0.019
INTERNATIONAL JOURNAL OF FOREST ENGINEERING	2	0.019
ISRAEL JOURNAL OF ECOLOGY EVOLUTION	2	0.019
JOURNAL OF AGRICULTURAL ENVIRONMENTAL ETHICS	2	0.019
JOURNAL OF AQUATIC PLANT MANAGEMENT	2	0.019
JOURNAL OF CONTAMINANT HYDROLOGY	2	0.019
JOURNAL OF HYDROINFORMATICS	2	0.019
JOURNAL OF MOUNTAIN SCIENCE	2	0.019
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY	2	0.019
JOURNAL OF PLANT GROWTH REGULATION	2	0.019
JOURNAL OF PLANT INTERACTIONS	2	0.019
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	2	0.019
MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE	2	0.019
MOUNTAIN RESEARCH AND DEVELOPMENT	2	0.019
NATURE SUSTAINABILITY	2	0.019
NEW ZEALAND JOURNAL OF BOTANY	2	0.019
PHOTOSYNTHESIS RESEARCH	2	0.019
PHYSICAL GEOGRAPHY	2	0.019
PHYTOPARASITICA	2	0.019
PLANT AND CELL PHYSIOLOGY	2	0.019
PLANT FOODS FOR HUMAN NUTRITION	2	0.019
POLAR SCIENCE	2	0.019
RESOURCES CONSERVATION AND RECYCLING	2	0.019
REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE	2	0.019
REVISTA CHILENA DE HISTORIA NATURAL	2	0.019
REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL	2	0.019
SILVAE GENETICA	2	0.019
SOIL SCIENCE AND PLANT NUTRITION	2	0.019
SUSTAINABILITY SCIENCE	2	0.019
TAIWANIA	2	0.019
WATER AND ENVIRONMENT JOURNAL	2	0.019
WOOD AND FIBER SCIENCE	2	0.019
WOOD SCIENCE AND TECHNOLOGY	2	0.019
ACTA BOTANICA CROATICA	1	0.010
ACTA PHYSIOLOGIAE PLANTARUM	1	0.010
ACTA PHYTOTAXONOMICA ET GEOBOTANICA	1	0.010
ADVANCES IN BOTANICAL RESEARCH	1	0.010
AIR QUALITY ATMOSPHERE AND HEALTH	1	0.010
ALGAE	1	0.010
ANALES DEL JARDIN BOTANICO DE MADRID	1	0.010
ANNALS OF FOREST RESEARCH	1	0.010
ANTARCTIC SCIENCE	1	0.010
AUSTRALIAN FORESTRY	1	0.010
AUSTRIAN JOURNAL OF FOREST SCIENCE	1	0.010
BIOLOGY AND ENVIRONMENT PROCEEDINGS OF THE ROYAL IRISH ACADEMY	1	0.010
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT	1	0.010
BOTANICA MARINA	1	0.010
BOTANICA SERBICA	1	0.010
BOTANICAL REVIEW	1	0.010
CANADIAN JOURNAL OF PLANT PATHOLOGY	1	0.010
CARBON MANAGEMENT	1	0.010
CARIBBEAN JOURNAL OF SCIENCE	1	0.010
CHEMISTRY AND ECOLOGY	1	0.010
COMPOST SCIENCE UTILIZATION	1	0.010
CROATIAN JOURNAL OF FOREST ENGINEERING	1	0.010
CROP JOURNAL	1	0.010
CRYPTOGAMIE BRYOLOGIE	1	0.010
DENDROBIOLOGY	1	0.010
ECO MONT JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH	1	0.010
ECOLOGICAL CHEMISTRY AND ENGINEERING S CHEMIA I INZYNIERIA EKOLOGICZNA S	1	0.010
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	1	0.010
ENVIRONMENTAL HEALTH	1	0.010
ENVIRONMENTAL HEALTH PERSPECTIVES	1	0.010
ENVIRONMENTAL MICROBIOLOGY REPORTS	1	0.010
ENVIRONMENTAL SCIENCE NANO	1	0.010
ENVIRONMENTAL TOXICOLOGY	1	0.010
FOOD AND ENVIRONMENTAL VIROLOGY	1	0.010
FOREST PRODUCTS JOURNAL	1	0.010
GEFAHRSTOFFE REINHALTUNG DER LUFT	1	0.010
GM CROPS FOOD BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN	1	0.010
HERZOGIA	1	0.010
INDUSTRIAL HEALTH	1	0.010
INTERNATIONAL FORESTRY REVIEW	1	0.010
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH	1	0.010
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY	1	0.010
INTERNATIONAL JOURNAL OF GLOBAL WARMING	1	0.010
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT	1	0.010
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES	1	0.010
JOURNAL OF AEROSOL SCIENCE	1	0.010
JOURNAL OF APPLIED BOTANY AND FOOD QUALITY	1	0.010
JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING	1	0.010
JOURNAL OF ENVIRONMENTAL INFORMATICS	1	0.010
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A TOXIC HAZARDOUS SUBSTANCES ENVIRONMENTAL ENGINEERING	1	0.010
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES	1	0.010
JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT	1	0.010
JOURNAL OF FOREST ECONOMICS	1	0.010
JOURNAL OF FORESTRY	1	0.010
JOURNAL OF GENERAL PLANT PATHOLOGY	1	0.010
JOURNAL OF GINSENG RESEARCH	1	0.010
JOURNAL OF INTEGRATIVE PLANT BIOLOGY	1	0.010
JOURNAL OF NATURAL PRODUCTS	1	0.010
JOURNAL OF PLANT BIOLOGY	1	0.010
JOURNAL OF PLANT PATHOLOGY	1	0.010
JOURNAL OF RADIOLOGICAL PROTECTION	1	0.010
JOURNAL OF TROPICAL ECOLOGY	1	0.010
JOURNAL OF WOOD SCIENCE	1	0.010
KEW BULLETIN	1	0.010
KOEDOE	1	0.010
LOCAL ENVIRONMENT	1	0.010
MOLECULAR PHYSIOLOGY AND BIOTECHNOLOGY OF TREES	1	0.010
NATURAL RESOURCE MODELING	1	0.010
NATURAL RESOURCES FORUM	1	0.010
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE	1	0.010
NOVA HEDWIGIA	1	0.010
OZONE SCIENCE ENGINEERING	1	0.010
PAKISTAN JOURNAL OF BOTANY	1	0.010
PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS	1	0.010
