Source Titles	records	% of 10454
ECOLOGY AND EVOLUTION	489	4.678
SCIENCE OF THE TOTAL ENVIRONMENT	401	3.836
FOREST ECOLOGY AND MANAGEMENT	226	2.162
ECOSPHERE	210	2.009
MARINE ECOLOGY PROGRESS SERIES	170	1.626
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	156	1.492
FRONTIERS IN PLANT SCIENCE	150	1.435
MOLECULAR ECOLOGY	149	1.425
JOURNAL OF ECOLOGY	145	1.387
GLOBAL CHANGE BIOLOGY	142	1.358
FORESTS	139	1.330
ECOLOGY	132	1.263
NEW PHYTOLOGIST	128	1.224
ECOLOGICAL INDICATORS	122	1.167
BIOLOGICAL CONSERVATION	120	1.148
JOURNAL OF APPLIED ECOLOGY	120	1.148
JOURNAL OF BIOGEOGRAPHY	113	1.081
JOURNAL OF ANIMAL ECOLOGY	110	1.052
FRONTIERS IN ECOLOGY AND EVOLUTION	106	1.014
FRONTIERS IN MARINE SCIENCE	106	1.014
FRESHWATER BIOLOGY	102	0.976
OECOLOGIA	102	0.976
BEHAVIORAL ECOLOGY	96	0.918
DIVERSITY AND DISTRIBUTIONS	93	0.890
ECOLOGICAL APPLICATIONS	93	0.890
GLOBAL ECOLOGY AND BIOGEOGRAPHY	93	0.890
BIOLOGICAL INVASIONS	86	0.823
FUNCTIONAL ECOLOGY	84	0.804
METHODS IN ECOLOGY AND EVOLUTION	82	0.784
EVOLUTION	80	0.765
AGRICULTURE ECOSYSTEMS ENVIRONMENT	75	0.717
JOURNAL OF ENVIRONMENTAL MANAGEMENT	75	0.717
ECOLOGY LETTERS	73	0.698
PLANT AND SOIL	73	0.698
AMERICAN JOURNAL OF BOTANY	72	0.689
GLOBAL ECOLOGY AND CONSERVATION	70	0.670
AUSTRAL ECOLOGY	69	0.660
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	67	0.641
ENVIRONMENTAL POLLUTION	67	0.641
SUSTAINABILITY	66	0.631
BIODIVERSITY AND CONSERVATION	63	0.603
RESTORATION ECOLOGY	63	0.603
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	62	0.593
JOURNAL OF EVOLUTIONARY BIOLOGY	60	0.574
JOURNAL OF WILDLIFE MANAGEMENT	60	0.574
AGRONOMY BASEL	58	0.555
BIOTROPICA	57	0.545
JOURNAL OF VEGETATION SCIENCE	56	0.536
ANNALS OF BOTANY	54	0.517
ENVIRONMENTAL RESEARCH LETTERS	53	0.507
AMERICAN NATURALIST	50	0.478
DIVERSITY BASEL	49	0.469
BIOLOGY LETTERS	48	0.459
ENVIRONMENTAL SCIENCE TECHNOLOGY	48	0.459
FUNGAL ECOLOGY	48	0.459
CHEMOSPHERE	47	0.450
LANDSCAPE ECOLOGY	47	0.450
MARINE POLLUTION BULLETIN	46	0.440
ECOLOGICAL MODELLING	45	0.430
MOLECULAR ECOLOGY RESOURCES	44	0.421
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	43	0.411
ECOSYSTEMS	43	0.411
WATER RESEARCH	43	0.411
AGRICULTURAL AND FOREST METEOROLOGY	42	0.402
CANADIAN JOURNAL OF FOREST RESEARCH	41	0.392
ENVIRONMENT INTERNATIONAL	37	0.354
PHYTOPATHOLOGY	37	0.354
POLAR BIOLOGY	37	0.354
ANIMAL CONSERVATION	36	0.344
CONSERVATION BIOLOGY	36	0.344
ENVIRONMENTAL BIOLOGY OF FISHES	36	0.344
THEORETICAL AND APPLIED GENETICS	36	0.344
ISME JOURNAL	35	0.335
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	35	0.335
LANDSCAPE AND URBAN PLANNING	34	0.325
