Source Titles	records	% of 1969
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	6	0.305
BIOTA NEOTROPICA	6	0.305
CANADIAN JOURNAL OF FOREST RESEARCH REVUE CANADIENNE DE RECHERCHE FORESTIERE	6	0.305
CLIMATE RESEARCH	6	0.305
CONSERVATION BIOLOGY	6	0.305
HEREDITY	6	0.305
INTERNATIONAL JOURNAL OF WILDLAND FIRE	6	0.305
JOURNAL OF CHEMICAL ECOLOGY	6	0.305
JOURNAL OF EXPERIMENTAL BOTANY	6	0.305
LANDSCAPE AND URBAN PLANNING	6	0.305
PLANT BIOLOGY	6	0.305
POPULATION ECOLOGY	6	0.305
SCANDINAVIAN JOURNAL OF FOREST RESEARCH	6	0.305
TREES STRUCTURE AND FUNCTION	6	0.305
WATER AIR AND SOIL POLLUTION	6	0.305
WATER RESEARCH	6	0.305
WATER RESOURCES RESEARCH	6	0.305
WILDLIFE BIOLOGY	6	0.305
CHEMOSPHERE	5	0.254
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	5	0.254
ENVIRONMENTAL MODELLING SOFTWARE	5	0.254
FRONTIERS IN PLANT SCIENCE	5	0.254
INTERNATIONAL JOURNAL OF PLANT SCIENCES	5	0.254
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	5	0.254
NEW ZEALAND JOURNAL OF ECOLOGY	5	0.254
WILDLIFE SOCIETY BULLETIN	5	0.254
ARCTIC ANTARCTIC AND ALPINE RESEARCH	4	0.203
AUSTRAL ECOLOGY	4	0.203
BMC PLANT BIOLOGY	4	0.203
BOTANY	4	0.203
ECOLOGICAL ENGINEERING	4	0.203
ECOLOGICAL RESEARCH	4	0.203
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	4	0.203
ENVIRONMENTAL BIOLOGY OF FISHES	4	0.203
FUNCTIONAL PLANT BIOLOGY	4	0.203
JOURNAL OF ARID ENVIRONMENTS	4	0.203
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	4	0.203
JOURNAL OF GREAT LAKES RESEARCH	4	0.203
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	4	0.203
JOURNAL OF THE TORREY BOTANICAL SOCIETY	4	0.203
MARINE ENVIRONMENTAL RESEARCH	4	0.203
NORTHEASTERN NATURALIST	4	0.203
NORTHWEST SCIENCE	4	0.203
ORYX	4	0.203
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	4	0.203
PLANT JOURNAL	4	0.203
PLANT PHYSIOLOGY	4	0.203
PRESLIA	4	0.203
REGIONAL ENVIRONMENTAL CHANGE	4	0.203
REVIEW OF PALAEOBOTANY AND PALYNOLOGY	4	0.203
TAXON	4	0.203
WESTERN JOURNAL OF APPLIED FORESTRY	4	0.203
WETLANDS	4	0.203
AQUATIC ECOLOGY	3	0.152
ARTHROPOD PLANT INTERACTIONS	3	0.152
AVIAN CONSERVATION AND ECOLOGY	3	0.152
BIOENERGY RESEARCH	3	0.152
BIOGEOCHEMISTRY	3	0.152
COMMUNITY ECOLOGY	3	0.152
CONSERVATION LETTERS	3	0.152
ECOSCIENCE	3	0.152
ECOTOXICOLOGY	3	0.152
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	3	0.152
ENVIRONMENTAL HEALTH PERSPECTIVES	3	0.152
EUROPEAN JOURNAL OF PLANT PATHOLOGY	3	0.152
FOREST SCIENCE	3	0.152
FORESTRY	3	0.152
FORESTRY CHRONICLE	3	0.152
FORESTS	3	0.152
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	3	0.152
JOURNAL OF ENVIRONMENTAL MONITORING	3	0.152
JOURNAL OF INSECT CONSERVATION	3	0.152
JOURNAL OF NATURAL HISTORY	3	0.152
NATUREZA CONSERVACAO	3	0.152
NEW FORESTS	3	0.152
PLANT CELL AND ENVIRONMENT	3	0.152
PLANT ECOLOGY AND EVOLUTION	3	0.152
PLANT GENOME	3	0.152
PLANT SYSTEMATICS AND EVOLUTION	3	0.152
POLISH JOURNAL OF ECOLOGY	3	0.152
AFRICAN JOURNAL OF ECOLOGY	2	0.102
ALLGEMEINE FORST UND JAGDZEITUNG	2	0.102
ALPINE BOTANY	2	0.102
AMBIO	2	0.102
AMERICAN MIDLAND NATURALIST	2	0.102
ANIMAL BIODIVERSITY AND CONSERVATION	2	0.102
AQUATIC BOTANY	2	0.102
AQUATIC INVASIONS	2	0.102
BIOCHEMICAL SYSTEMATICS AND ECOLOGY	2	0.102
BIRD CONSERVATION INTERNATIONAL	2	0.102
BMC ECOLOGY	2	0.102
BOIS ET FORETS DES TROPIQUES	2	0.102
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	2	0.102
BOTANY BOTANIQUE	2	0.102
BRYOLOGIST	2	0.102
CHEMOECOLOGY	2	0.102
CLIMATIC CHANGE	2	0.102
DENDROCHRONOLOGIA	2	0.102
ECOHYDROLOGY	2	0.102
ECOLOGICAL MONOGRAPHS	2	0.102
ENERGY POLICY	2	0.102
ENVIRONMENT INTERNATIONAL	2	0.102
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	2	0.102
ENVIRONMENTAL CONSERVATION	2	0.102
ENVIRONMENTAL MANAGEMENT	2	0.102
ENVIRONMENTAL MONITORING AND ASSESSMENT	2	0.102
ESTUARIES AND COASTS	2	0.102
FUNGAL ECOLOGY	2	0.102
GENETIC RESOURCES AND CROP EVOLUTION	2	0.102
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	2	0.102
INVASIVE PLANT SCIENCE AND MANAGEMENT	2	0.102
JOURNAL OF ENVIRONMENTAL QUALITY	2	0.102
JOURNAL OF FOREST RESEARCH	2	0.102
JOURNAL OF MOUNTAIN SCIENCE	2	0.102
JOURNAL OF PHYCOLOGY	2	0.102
JOURNAL OF PLANT ECOLOGY	2	0.102
JOURNAL OF PLANT RESEARCH	2	0.102
JOURNAL OF SOILS AND SEDIMENTS	2	0.102
PEDOBIOLOGIA	2	0.102
PLANT BIOSYSTEMS	2	0.102
PLANT CELL	2	0.102
PLANT DISEASE	2	0.102
PLANT PATHOLOGY	2	0.102
PLANT PHYSIOLOGY AND BIOCHEMISTRY	2	0.102
POLAR BIOLOGY	2	0.102
RESTORATION ECOLOGY	2	0.102
REVISTA ARVORE	2	0.102
REVISTA CHILENA DE HISTORIA NATURAL	2	0.102
REVUE D ECOLOGIE LA TERRE ET LA VIE	2	0.102
RIVER RESEARCH AND APPLICATIONS	2	0.102
SILVA FENNICA	2	0.102
SOUTH AFRICAN JOURNAL OF BOTANY	2	0.102
SOUTHERN FORESTS	2	0.102
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	2	0.102
THEORETICAL POPULATION BIOLOGY	2	0.102
TROPICAL PLANT BIOLOGY	2	0.102
URBAN ECOSYSTEMS	2	0.102
WATER SCIENCE AND TECHNOLOGY	2	0.102
WEED TECHNOLOGY	2	0.102
WESTERN NORTH AMERICAN NATURALIST	2	0.102
ACTA PHYSIOLOGIAE PLANTARUM	1	0.051
ADVANCES IN ECOLOGICAL RESEARCH	1	0.051
ADVANCES IN ECOLOGICAL RESEARCH VOL 47 GLOBAL CHANGE IN MULTISPECIES SYSTEMS PT 2	1	0.051
AEROBIOLOGIA	1	0.051
ANNALES ZOOLOGICI FENNICI	1	0.051
ANTARCTIC SCIENCE	1	0.051
AOB PLANTS	1	0.051
AQUATIC MICROBIAL ECOLOGY	1	0.051
AQUATIC SCIENCES	1	0.051
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	1	0.051
ATMOSPHERIC CHEMISTRY AND PHYSICS	1	0.051
BALTIC FORESTRY	1	0.051
BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA	1	0.051
BOSQUE	1	0.051
BOTANICA MARINA	1	0.051
BOTANICAL SCIENCES	1	0.051
BRAZILIAN JOURNAL OF BOTANY	1	0.051
CANADIAN JOURNAL OF PLANT PATHOLOGY REVUE CANADIENNE DE PHYTOPATHOLOGIE	1	0.051
CONTEMPORARY PROBLEMS OF ECOLOGY	1	0.051
ECOLOGICAL CHEMISTRY AND ENGINEERING S CHEMIA I INZYNIERIA EKOLOGICZNA S	1	0.051
ECOLOGICAL COMPLEXITY	1	0.051
ECOLOGICAL INFORMATICS	1	0.051
ECOLOGY AND SOCIETY	1	0.051
ECONOMIC BOTANY	1	0.051
ECOTROPICA	1	0.051
ENVIRONMENTAL CHEMISTRY	1	0.051
ENVIRONMENTAL EARTH SCIENCES	1	0.051
ENVIRONMENTAL MICROBIOLOGY REPORTS	1	0.051
ENVIRONMENTAL MODELING ASSESSMENT	1	0.051
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	1	0.051
EUPHYTICA	1	0.051
FIRE ECOLOGY	1	0.051
FOLIA GEOBOTANICA	1	0.051
FOREST SYSTEMS	1	0.051
GLOBAL BIOGEOCHEMICAL CYCLES	1	0.051
GRUNDWASSER	1	0.051
HEALTH PHYSICS	1	0.051
INSECT CONSERVATION AND DIVERSITY	1	0.051
INTERCIENCIA	1	0.051
INTERNATIONAL BIODETERIORATION BIODEGRADATION	1	0.051
ITALIAN JOURNAL OF AGROMETEOROLOGY RIVISTA ITALIANA DI AGROMETEOROLOGIA	1	0.051
JOURNAL FOR NATURE CONSERVATION	1	0.051
JOURNAL OF APPLIED REMOTE SENSING	1	0.051
JOURNAL OF BIOLOGICAL DYNAMICS	1	0.051
JOURNAL OF BRYOLOGY	1	0.051
JOURNAL OF ENVIRONMENTAL ENGINEERING ASCE	1	0.051
JOURNAL OF ENVIRONMENTAL MANAGEMENT	1	0.051
JOURNAL OF FRESHWATER ECOLOGY	1	0.051
JOURNAL OF HAZARDOUS MATERIALS	1	0.051
JOURNAL OF INDUSTRIAL ECOLOGY	1	0.051
JOURNAL OF THE AIR WASTE MANAGEMENT ASSOCIATION	1	0.051
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	1	0.051
JOURNAL OF TROPICAL FOREST SCIENCE	1	0.051
JOURNAL OF WATER AND HEALTH	1	0.051
LICHENOLOGIST	1	0.051
MICROBIAL ECOLOGY	1	0.051
MIRES AND PEAT	1	0.051
MOLECULAR BREEDING	1	0.051
MOLECULAR PLANT MICROBE INTERACTIONS	1	0.051
NATURE CLIMATE CHANGE	1	0.051
NEW ZEALAND JOURNAL OF BOTANY	1	0.051
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE	1	0.051
NORDIC JOURNAL OF BOTANY	1	0.051
NORTHERN JOURNAL OF APPLIED FORESTRY	1	0.051
PHOTOSYNTHETICA	1	0.051
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY	1	0.051
PHYTOCOENOLOGIA	1	0.051
PHYTOTAXA	1	0.051
PLANT BREEDING	1	0.051
PLANT CELL REPORTS	1	0.051
PLANT METHODS	1	0.051
PLANT MOLECULAR BIOLOGY	1	0.051
PLANT SPECIES BIOLOGY	1	0.051
PLANTA	1	0.051
POLAR RESEARCH	1	0.051
RADIATION AND ENVIRONMENTAL BIOPHYSICS	1	0.051
RADIATION PROTECTION DOSIMETRY	1	0.051
REVISTA MEXICANA DE BIODIVERSIDAD	1	0.051
SAR AND QSAR IN ENVIRONMENTAL RESEARCH	1	0.051
SEED SCIENCE AND TECHNOLOGY	1	0.051
SEED SCIENCE RESEARCH	1	0.051
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH	1	0.051
SOUTHERN JOURNAL OF APPLIED FORESTRY	1	0.051
SYSTEMATICS AND BIODIVERSITY	1	0.051
TREE GENETICS GENOMES	1	0.051
TRENDS IN ECOLOGY EVOLUTION	1	0.051
TROPICAL CONSERVATION SCIENCE	1	0.051
TUEXENIA	1	0.051
TURKISH JOURNAL OF AGRICULTURE AND FORESTRY	1	0.051
VADOSE ZONE JOURNAL	1	0.051
VEGETATION HISTORY AND ARCHAEOBOTANY	1	0.051
VIE ET MILIEU LIFE AND ENVIRONMENT	1	0.051
WASTE MANAGEMENT	1	0.051
WEED BIOLOGY AND MANAGEMENT	1	0.051
WEED SCIENCE	1	0.051
(0 records (0.000%) do not contain data in the field being analyzed.)
