Source Titles	records	% of 1969
MARINE ECOLOGY PROGRESS SERIES	67	3.403
MOLECULAR ECOLOGY	58	2.946
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	56	2.844
FOREST ECOLOGY AND MANAGEMENT	55	2.793
ECOLOGY	54	2.743
GLOBAL CHANGE BIOLOGY	42	2.133
BIOLOGICAL CONSERVATION	38	1.930
JOURNAL OF EVOLUTIONARY BIOLOGY	37	1.879
METHODS IN ECOLOGY AND EVOLUTION	37	1.879
EVOLUTION	34	1.727
JOURNAL OF APPLIED ECOLOGY	34	1.727
JOURNAL OF ECOLOGY	33	1.676
OECOLOGIA	33	1.676
JOURNAL OF ANIMAL ECOLOGY	32	1.625
FRESHWATER BIOLOGY	31	1.574
ECOLOGY LETTERS	26	1.320
JOURNAL OF BIOGEOGRAPHY	26	1.320
NEW PHYTOLOGIST	25	1.270
AMERICAN NATURALIST	24	1.219
BIODIVERSITY AND CONSERVATION	24	1.219
ECOLOGICAL APPLICATIONS	24	1.219
PLANT ECOLOGY	23	1.168
BASIC AND APPLIED ECOLOGY	22	1.117
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	20	1.016
ECOLOGY AND EVOLUTION	20	1.016
ECOSPHERE	19	0.965
SCIENCE OF THE TOTAL ENVIRONMENT	19	0.965
ENVIRONMENTAL SCIENCE TECHNOLOGY	18	0.914
GLOBAL ECOLOGY AND BIOGEOGRAPHY	18	0.914
BIOLOGICAL INVASIONS	17	0.863
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	16	0.813
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	15	0.762
AGRICULTURE ECOSYSTEMS ENVIRONMENT	15	0.762
ANNALS OF BOTANY	15	0.762
REMOTE SENSING OF ENVIRONMENT	15	0.762
DIVERSITY AND DISTRIBUTIONS	14	0.711
FUNCTIONAL ECOLOGY	14	0.711
ISME JOURNAL	14	0.711
AMERICAN JOURNAL OF BOTANY	13	0.660
BEHAVIORAL ECOLOGY	13	0.660
BIOLOGY LETTERS	13	0.660
ECOLOGICAL INDICATORS	13	0.660
ECOLOGICAL MODELLING	13	0.660
LANDSCAPE ECOLOGY	13	0.660
MOLECULAR ECOLOGY RESOURCES	13	0.660
BIOGEOSCIENCES	12	0.609
EUROPEAN JOURNAL OF FOREST RESEARCH	12	0.609
ANIMAL CONSERVATION	11	0.559
BIOTROPICA	10	0.508
CONSERVATION GENETICS	10	0.508
JOURNAL OF PALEOLIMNOLOGY	10	0.508
PLANT AND SOIL	10	0.508
ECOSYSTEMS	9	0.457
ANNALS OF FOREST SCIENCE	8	0.406
ATMOSPHERIC ENVIRONMENT	8	0.406
ENVIRONMENTAL POLLUTION	8	0.406
ENVIRONMENTAL RESEARCH LETTERS	8	0.406
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	8	0.406
EUROPEAN JOURNAL OF SOIL BIOLOGY	8	0.406
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	8	0.406
EVOLUTIONARY ECOLOGY RESEARCH	8	0.406
MARINE POLLUTION BULLETIN	8	0.406
PALEOBIOLOGY	8	0.406
PLANT ECOLOGY DIVERSITY	8	0.406
WEED RESEARCH	8	0.406
WILDLIFE RESEARCH	8	0.406
CANADIAN JOURNAL OF FOREST RESEARCH	7	0.356
ENVIRONMETRICS	7	0.356
EVOLUTIONARY ECOLOGY	7	0.356
FLORA	7	0.356
JOURNAL OF WILDLIFE MANAGEMENT	7	0.356
THEORETICAL AND APPLIED GENETICS	7	0.356
TREE PHYSIOLOGY	7	0.356
AGRICULTURAL AND FOREST METEOROLOGY	6	0.305
