Source Titles	records	% of 3062
SCIENCE OF THE TOTAL ENVIRONMENT	175	5.715
ECOLOGY AND EVOLUTION	114	3.723
FOREST ECOLOGY AND MANAGEMENT	88	2.874
ECOLOGICAL INDICATORS	70	2.286
BIOLOGICAL CONSERVATION	58	1.894
GLOBAL CHANGE BIOLOGY	58	1.894
MARINE ECOLOGY PROGRESS SERIES	52	1.698
JOURNAL OF ECOLOGY	49	1.600
FRONTIERS IN MARINE SCIENCE	45	1.470
FRONTIERS IN PLANT SCIENCE	39	1.274
ECOLOGY	38	1.241
JOURNAL OF ANIMAL ECOLOGY	36	1.176
OECOLOGIA	36	1.176
AGRICULTURE ECOSYSTEMS ENVIRONMENT	35	1.143
JOURNAL OF APPLIED ECOLOGY	35	1.143
JOURNAL OF BIOGEOGRAPHY	35	1.143
ECOLOGICAL APPLICATIONS	34	1.110
MOLECULAR ECOLOGY	33	1.078
FUNCTIONAL ECOLOGY	30	0.980
SUSTAINABILITY	30	0.980
FRESHWATER BIOLOGY	27	0.882
NEW PHYTOLOGIST	27	0.882
FORESTS	26	0.849
BIOLOGICAL INVASIONS	25	0.816
GLOBAL ECOLOGY AND BIOGEOGRAPHY	25	0.816
RESTORATION ECOLOGY	25	0.816
BIODIVERSITY AND CONSERVATION	24	0.784
ECOSYSTEMS	24	0.784
ISME JOURNAL	24	0.784
AGRICULTURAL AND FOREST METEOROLOGY	23	0.751
CHEMOSPHERE	23	0.751
ECOLOGY LETTERS	23	0.751
LANDSCAPE ECOLOGY	21	0.686
MARINE POLLUTION BULLETIN	21	0.686
ORYX	21	0.686
BIOTROPICA	20	0.653
GLOBAL ECOLOGY AND CONSERVATION	19	0.621
JOURNAL OF VEGETATION SCIENCE	19	0.621
URBAN ECOSYSTEMS	19	0.621
AMERICAN JOURNAL OF BOTANY	18	0.588
JOURNAL OF ENVIRONMENTAL MANAGEMENT	18	0.588
JOURNAL OF EVOLUTIONARY BIOLOGY	18	0.588
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	18	0.588
JOURNAL OF WILDLIFE MANAGEMENT	18	0.588
PLANT AND SOIL	18	0.588
AMERICAN NATURALIST	17	0.555
EVOLUTION	17	0.555
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	17	0.555
REGIONAL STUDIES IN MARINE SCIENCE	17	0.555
BIOLOGY LETTERS	16	0.523
DIVERSITY AND DISTRIBUTIONS	16	0.523
ENVIRONMENT INTERNATIONAL	16	0.523
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	16	0.523
WATER RESEARCH	16	0.523
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	15	0.490
ENVIRONMENTAL POLLUTION	15	0.490
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	15	0.490
JOURNAL OF INSECT CONSERVATION	15	0.490
BEHAVIORAL ECOLOGY	14	0.457
CANADIAN JOURNAL OF FOREST RESEARCH	14	0.457
ECOLOGICAL MODELLING	14	0.457
ENVIRONMENTAL MONITORING AND ASSESSMENT	14	0.457
PHYTOPATHOLOGY	14	0.457
PLANTS BASEL	14	0.457
ANIMAL CONSERVATION	13	0.425
AUSTRAL ECOLOGY	13	0.425
CONSERVATION PHYSIOLOGY	13	0.425
ENVIRONMENTAL SCIENCE TECHNOLOGY	13	0.425
FRONTIERS IN ECOLOGY AND EVOLUTION	13	0.425
HEREDITY	13	0.425
LANDSCAPE AND URBAN PLANNING	13	0.425
METHODS IN ECOLOGY AND EVOLUTION	13	0.425
NATURE ECOLOGY EVOLUTION	13	0.425
REMOTE SENSING OF ENVIRONMENT	13	0.425
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	12	0.392
DIVERSITY BASEL	12	0.392
MICROBIAL ECOLOGY	12	0.392
PLANT DISEASE	12	0.392
URBAN FORESTRY URBAN GREENING	12	0.392
AGRONOMY BASEL	11	0.359
AQUATIC ECOLOGY	11	0.359
JOURNAL OF CLEANER PRODUCTION	11	0.359
JOURNAL OF ENVIRONMENTAL QUALITY	11	0.359
LAND DEGRADATION DEVELOPMENT	11	0.359
MARINE ENVIRONMENTAL RESEARCH	11	0.359
THEORETICAL AND APPLIED GENETICS	11	0.359
AMBIO	10	0.327
AQUATIC SCIENCES	10	0.327
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	10	0.327
ENVIRONMENTAL BIOLOGY OF FISHES	10	0.327
JOURNAL OF ARID ENVIRONMENTS	10	0.327
NEW FORESTS	10	0.327
WILDLIFE SOCIETY BULLETIN	10	0.327
BIOGEOSCIENCES	9	0.294
DENDROCHRONOLOGIA	9	0.294
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	9	0.294
EUPHYTICA	9	0.294
PLANT JOURNAL	9	0.294
RANGELAND ECOLOGY MANAGEMENT	9	0.294
AOB PLANTS	8	0.261
ARTHROPOD PLANT INTERACTIONS	8	0.261
CONSERVATION BIOLOGY	8	0.261
ECOLOGICAL RESEARCH	8	0.261
INSECT CONSERVATION AND DIVERSITY	8	0.261
MOLECULAR ECOLOGY RESOURCES	8	0.261
PLANT BIOLOGY	8	0.261
PLANT ECOLOGY	8	0.261
PLANT PATHOLOGY	8	0.261
POLAR BIOLOGY	8	0.261
ACTA BOTANICA BRASILICA	7	0.229
APPLIED VEGETATION SCIENCE	7	0.229
BASIC AND APPLIED ECOLOGY	7	0.229
BMC ECOLOGY	7	0.229
ECOLOGICAL ENGINEERING	7	0.229
ECOTOXICOLOGY	7	0.229
PLANT CELL AND ENVIRONMENT	7	0.229
PLANT PHYSIOLOGY	7	0.229
RIVER RESEARCH AND APPLICATIONS	7	0.229
TREE GENETICS GENOMES	7	0.229
AEROBIOLOGIA	6	0.196
APPLICATIONS IN PLANT SCIENCES	6	0.196
ATMOSPHERIC ENVIRONMENT	6	0.196
CLIMATIC CHANGE	6	0.196
CONSERVATION GENETICS	6	0.196
ECOLOGICAL MONOGRAPHS	6	0.196
ENVIRONMENTAL MANAGEMENT	6	0.196
ENVIRONMENTAL RESEARCH	6	0.196
ESTUARIES AND COASTS	6	0.196
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	6	0.196
GENETIC RESOURCES AND CROP EVOLUTION	6	0.196
JOURNAL OF SYSTEMATICS AND EVOLUTION	6	0.196
REMOTE SENSING IN ECOLOGY AND CONSERVATION	6	0.196
WILDLIFE RESEARCH	6	0.196
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	5	0.163
ANNALS OF FOREST SCIENCE	5	0.163
BIOGEOCHEMISTRY	5	0.163
BOTANY	5	0.163
ECOHYDROLOGY	5	0.163
ECOLOGICAL ECONOMICS	5	0.163
ENVIRONMENTAL RESEARCH LETTERS	5	0.163
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	5	0.163
EUROPEAN JOURNAL OF FOREST RESEARCH	5	0.163
EUROPEAN JOURNAL OF PLANT PATHOLOGY	5	0.163
FLORA	5	0.163
HUMAN DIMENSIONS OF WILDLIFE	5	0.163
IFOREST BIOGEOSCIENCES AND FORESTRY	5	0.163
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	5	0.163
