Research Areas	records	% of 2605945
ENGINEERING	345268	13.249
CHEMISTRY	191034	7.331
PHYSICS	168636	6.471
MATERIALS SCIENCE	155342	5.961
COMPUTER SCIENCE	133144	5.109
NEUROSCIENCES NEUROLOGY	94004	3.607
BIOCHEMISTRY MOLECULAR BIOLOGY	93915	3.604
SCIENCE TECHNOLOGY OTHER TOPICS	92896	3.565
BUSINESS ECONOMICS	78442	3.010
ONCOLOGY	74973	2.877
ENVIRONMENTAL SCIENCES ECOLOGY	70121	2.691
MATHEMATICS	69420	2.664
GENERAL INTERNAL MEDICINE	66227	2.541
PHARMACOLOGY PHARMACY	66153	2.539
PSYCHOLOGY	60820	2.334
CARDIOVASCULAR SYSTEM CARDIOLOGY	60162	2.309
SURGERY	58434	2.242
EDUCATION EDUCATIONAL RESEARCH	51694	1.984
OPTICS	48104	1.846
CELL BIOLOGY	46097	1.769
IMMUNOLOGY	42148	1.617
AGRICULTURE	41373	1.588
GOVERNMENT LAW	40981	1.573
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	40621	1.559
HISTORY	40155	1.541
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING	38814	1.489
LITERATURE	38486	1.477
ENERGY FUELS	36496	1.400
TELECOMMUNICATIONS	36112	1.386
GASTROENTEROLOGY HEPATOLOGY	34445	1.322
PSYCHIATRY	33348	1.280
BIOTECHNOLOGY APPLIED MICROBIOLOGY	33309	1.278
ENDOCRINOLOGY METABOLISM	30874	1.185
SOCIAL SCIENCES OTHER TOPICS	29835	1.145
RESEARCH EXPERIMENTAL MEDICINE	29736	1.141
HEMATOLOGY	28605	1.098
PLANT SCIENCES	28588	1.097
GEOLOGY	28326	1.087
UROLOGY NEPHROLOGY	28315	1.087
AUTOMATION CONTROL SYSTEMS	28026	1.075
GENETICS HEREDITY	27709	1.063
ASTRONOMY ASTROPHYSICS	25608	0.983
MECHANICS	25295	0.971
FOOD SCIENCE TECHNOLOGY	24939	0.957
MICROBIOLOGY	24707	0.948
ARTS HUMANITIES OTHER TOPICS	24620	0.945
PEDIATRICS	24346	0.934
HEALTH CARE SCIENCES SERVICES	23186	0.890
OBSTETRICS GYNECOLOGY	23046	0.884
