Source Titles	records	% of 2821
ECOLOGY	92	3.261
FOREST ECOLOGY AND MANAGEMENT	90	3.190
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	83	2.942
ECOLOGY AND EVOLUTION	81	2.871
MOLECULAR ECOLOGY	73	2.588
BIOLOGICAL CONSERVATION	63	2.233
MARINE ECOLOGY PROGRESS SERIES	62	2.198
OECOLOGIA	57	2.021
ECOSPHERE	52	1.843
GLOBAL CHANGE BIOLOGY	51	1.808
JOURNAL OF EVOLUTIONARY BIOLOGY	50	1.772
EVOLUTION	48	1.702
FRESHWATER BIOLOGY	40	1.418
JOURNAL OF ECOLOGY	40	1.418
METHODS IN ECOLOGY AND EVOLUTION	40	1.418
JOURNAL OF BIOGEOGRAPHY	38	1.347
ECOLOGY LETTERS	37	1.312
AMERICAN NATURALIST	35	1.241
DIVERSITY AND DISTRIBUTIONS	35	1.241
JOURNAL OF ANIMAL ECOLOGY	35	1.241
JOURNAL OF APPLIED ECOLOGY	35	1.241
NEW PHYTOLOGIST	35	1.241
GLOBAL ECOLOGY AND BIOGEOGRAPHY	34	1.205
BIODIVERSITY AND CONSERVATION	31	1.099
FUNCTIONAL ECOLOGY	30	1.063
BIOLOGICAL INVASIONS	28	0.993
BIOLOGY LETTERS	28	0.993
ECOLOGICAL APPLICATIONS	28	0.993
ECOLOGICAL INDICATORS	27	0.957
PLANT ECOLOGY	25	0.886
ANNALS OF BOTANY	22	0.780
BEHAVIORAL ECOLOGY	22	0.780
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	22	0.780
AGRICULTURE ECOSYSTEMS ENVIRONMENT	21	0.744
CONSERVATION BIOLOGY	20	0.709
BASIC AND APPLIED ECOLOGY	19	0.674
INSECT CONSERVATION AND DIVERSITY	17	0.603
JOURNAL OF WILDLIFE MANAGEMENT	17	0.603
PLANT AND SOIL	17	0.603
ECOLOGICAL MODELLING	16	0.567
ECOLOGICAL RESEARCH	16	0.567
LANDSCAPE ECOLOGY	16	0.567
SCIENCE OF THE TOTAL ENVIRONMENT	16	0.567
AMERICAN JOURNAL OF BOTANY	14	0.496
ANIMAL CONSERVATION	14	0.496
BIOTROPICA	14	0.496
ECOSYSTEMS	14	0.496
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	14	0.496
POLAR BIOLOGY	14	0.496
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	13	0.461
BIOGEOSCIENCES	13	0.461
ENDANGERED SPECIES RESEARCH	13	0.461
ENVIRONMENTAL MODELLING SOFTWARE	13	0.461
ENVIRONMENTAL POLLUTION	13	0.461
MOLECULAR ECOLOGY RESOURCES	13	0.461
WATER RESOURCES RESEARCH	13	0.461
AGRICULTURAL AND FOREST METEOROLOGY	12	0.425
AUSTRAL ECOLOGY	12	0.425
CONSERVATION GENETICS	12	0.425
ENVIRONMENTAL SCIENCE TECHNOLOGY	12	0.425
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	12	0.425
CANADIAN JOURNAL OF FOREST RESEARCH	11	0.390
CANADIAN JOURNAL OF FOREST RESEARCH REVUE CANADIENNE DE RECHERCHE FORESTIERE	11	0.390
ECOLOGICAL ENGINEERING	11	0.390
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	11	0.390
JOURNAL OF INSECT CONSERVATION	11	0.390
WILDLIFE RESEARCH	11	0.390
ATMOSPHERIC ENVIRONMENT	10	0.354
EUROPEAN JOURNAL OF FOREST RESEARCH	10	0.354
EVOLUTIONARY ECOLOGY	10	0.354
PLANT CELL AND ENVIRONMENT	10	0.354
ARTHROPOD PLANT INTERACTIONS	9	0.319
CHEMOSPHERE	9	0.319
JOURNAL OF EXPERIMENTAL BOTANY	9	0.319
LANDSCAPE AND URBAN PLANNING	9	0.319
