Source Titles	records	% of 6268
ECOLOGY AND EVOLUTION	243	3.877
FOREST ECOLOGY AND MANAGEMENT	160	2.553
ECOSPHERE	151	2.409
ECOLOGY	121	1.930
MARINE ECOLOGY PROGRESS SERIES	116	1.851
MOLECULAR ECOLOGY	107	1.707
OECOLOGIA	104	1.659
SCIENCE OF THE TOTAL ENVIRONMENT	101	1.611
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	98	1.563
BIOLOGICAL CONSERVATION	89	1.420
AGRICULTURE ECOSYSTEMS ENVIRONMENT	85	1.356
ECOLOGICAL APPLICATIONS	83	1.324
ECOLOGICAL INDICATORS	82	1.308
GLOBAL CHANGE BIOLOGY	82	1.308
BEHAVIORAL ECOLOGY	79	1.260
EVOLUTION	78	1.244
FRONTIERS IN PLANT SCIENCE	78	1.244
JOURNAL OF ECOLOGY	73	1.165
JOURNAL OF EVOLUTIONARY BIOLOGY	72	1.149
JOURNAL OF ANIMAL ECOLOGY	71	1.133
JOURNAL OF APPLIED ECOLOGY	71	1.133
BIOLOGICAL INVASIONS	67	1.069
METHODS IN ECOLOGY AND EVOLUTION	62	0.989
NEW PHYTOLOGIST	61	0.973
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	59	0.941
JOURNAL OF BIOGEOGRAPHY	57	0.909
FUNCTIONAL ECOLOGY	54	0.862
GLOBAL ECOLOGY AND BIOGEOGRAPHY	51	0.814
AMERICAN JOURNAL OF BOTANY	49	0.782
FRESHWATER BIOLOGY	49	0.782
LANDSCAPE ECOLOGY	47	0.750
AMERICAN NATURALIST	46	0.734
CANADIAN JOURNAL OF FOREST RESEARCH	46	0.734
BIODIVERSITY AND CONSERVATION	44	0.702
DIVERSITY AND DISTRIBUTIONS	42	0.670
ENVIRONMENTAL HEALTH PERSPECTIVES	42	0.670
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	42	0.670
ECOLOGY LETTERS	40	0.638
ENVIRONMENTAL POLLUTION	39	0.622
BIOLOGY LETTERS	38	0.606
ENVIRONMENTAL SCIENCE TECHNOLOGY	38	0.606
BIOGEOSCIENCES	37	0.590
ANNALS OF BOTANY	36	0.574
ECOLOGICAL MODELLING	35	0.558
PLANT AND SOIL	35	0.558
JOURNAL OF WILDLIFE MANAGEMENT	34	0.542
AUSTRAL ECOLOGY	32	0.511
JOURNAL OF INSECT CONSERVATION	31	0.495
MARINE POLLUTION BULLETIN	31	0.495
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	30	0.479
HEREDITY	30	0.479
ISME JOURNAL	30	0.479
PLANT ECOLOGY	30	0.479
RIVER RESEARCH AND APPLICATIONS	30	0.479
TREE PHYSIOLOGY	29	0.463
CONSERVATION PHYSIOLOGY	28	0.447
BASIC AND APPLIED ECOLOGY	27	0.431
ECOSYSTEMS	27	0.431
AOB PLANTS	26	0.415
BIOTROPICA	26	0.415
FRONTIERS IN MARINE SCIENCE	26	0.415
MOLECULAR ECOLOGY RESOURCES	26	0.415
POLAR BIOLOGY	26	0.415
PLANT PHYSIOLOGY	25	0.399
FRONTIERS IN ECOLOGY AND EVOLUTION	24	0.383
INSECT CONSERVATION AND DIVERSITY	24	0.383
JOURNAL OF EXPERIMENTAL BOTANY	24	0.383
WILDLIFE SOCIETY BULLETIN	24	0.383
ENVIRONMENTAL RESEARCH LETTERS	23	0.367
JOURNAL OF ARID ENVIRONMENTS	23	0.367
THEORETICAL AND APPLIED GENETICS	23	0.367
WATER RESOURCES RESEARCH	23	0.367
ECOLOGICAL ENGINEERING	22	0.351
ECOLOGICAL RESEARCH	22	0.351
WATER RESEARCH	22	0.351
CONSERVATION GENETICS	21	0.335
EUROPEAN JOURNAL OF FOREST RESEARCH	21	0.335
FORESTS	21	0.335
FUNGAL ECOLOGY	21	0.335
PLANT BIOLOGY	21	0.335
ENVIRONMENTAL MONITORING AND ASSESSMENT	20	0.319
MICROBIAL ECOLOGY	20	0.319
CHEMOSPHERE	19	0.303
ECOHYDROLOGY	19	0.303
ECOLOGY AND SOCIETY	19	0.303
ENVIRONMENTAL MODELLING SOFTWARE	19	0.303
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	19	0.303
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	19	0.303
