Source Titles	records	% of 4246
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	125	2.944
FOREST ECOLOGY AND MANAGEMENT	114	2.685
MOLECULAR ECOLOGY	112	2.638
ECOLOGY	98	2.308
MARINE ECOLOGY PROGRESS SERIES	89	2.096
ECOLOGY AND EVOLUTION	88	2.073
OECOLOGIA	81	1.908
EVOLUTION	69	1.625
JOURNAL OF EVOLUTIONARY BIOLOGY	68	1.602
GLOBAL ECOLOGY AND BIOGEOGRAPHY	65	1.531
ECOSPHERE	64	1.507
BEHAVIORAL ECOLOGY	62	1.460
FRESHWATER BIOLOGY	61	1.437
GLOBAL CHANGE BIOLOGY	61	1.437
JOURNAL OF BIOGEOGRAPHY	61	1.437
METHODS IN ECOLOGY AND EVOLUTION	59	1.390
BIOLOGICAL CONSERVATION	55	1.295
JOURNAL OF ECOLOGY	52	1.225
JOURNAL OF APPLIED ECOLOGY	49	1.154
NEW PHYTOLOGIST	48	1.130
JOURNAL OF ANIMAL ECOLOGY	47	1.107
ECOLOGICAL APPLICATIONS	45	1.060
DIVERSITY AND DISTRIBUTIONS	44	1.036
FUNCTIONAL ECOLOGY	44	1.036
AGRICULTURE ECOSYSTEMS ENVIRONMENT	43	1.013
SCIENCE OF THE TOTAL ENVIRONMENT	43	1.013
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	38	0.895
ECOLOGY LETTERS	37	0.871
ENVIRONMENTAL SCIENCE TECHNOLOGY	35	0.824
BIODIVERSITY AND CONSERVATION	33	0.777
ECOLOGICAL MODELLING	33	0.777
ANNALS OF BOTANY	32	0.754
BIOLOGICAL INVASIONS	32	0.754
BIOTROPICA	32	0.754
JOURNAL OF WILDLIFE MANAGEMENT	32	0.754
BASIC AND APPLIED ECOLOGY	30	0.707
PLANT AND SOIL	30	0.707
AMERICAN NATURALIST	29	0.683
AUSTRAL ECOLOGY	29	0.683
ECOLOGICAL INDICATORS	29	0.683
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	29	0.683
CANADIAN JOURNAL OF FOREST RESEARCH	27	0.636
LANDSCAPE ECOLOGY	26	0.612
PLANT ECOLOGY	26	0.612
BIOGEOSCIENCES	24	0.565
JOURNAL OF INSECT CONSERVATION	23	0.542
MARINE POLLUTION BULLETIN	22	0.518
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	21	0.495
CONSERVATION BIOLOGY	21	0.495
ENVIRONMENTAL POLLUTION	21	0.495
THEORETICAL AND APPLIED GENETICS	21	0.495
FRONTIERS IN PLANT SCIENCE	20	0.471
MOLECULAR ECOLOGY RESOURCES	20	0.471
AMERICAN JOURNAL OF BOTANY	19	0.447
ECOSYSTEMS	19	0.447
INTERNATIONAL JOURNAL OF WILDLAND FIRE	18	0.424
POLAR BIOLOGY	18	0.424
ECOLOGICAL ENGINEERING	17	0.400
ENDANGERED SPECIES RESEARCH	17	0.400
WATER RESOURCES RESEARCH	17	0.400
