Source Titles	records	% of 4246
ANIMAL CONSERVATION	16	0.377
CONSERVATION GENETICS	16	0.377
EUROPEAN JOURNAL OF FOREST RESEARCH	16	0.377
WILDLIFE SOCIETY BULLETIN	16	0.377
BIOGEOCHEMISTRY	15	0.353
ENVIRONMENTAL MODELLING SOFTWARE	15	0.353
ENVIRONMETRICS	15	0.353
REMOTE SENSING OF ENVIRONMENT	15	0.353
TREES STRUCTURE AND FUNCTION	15	0.353
BIOLOGY LETTERS	14	0.330
FOREST SCIENCE	14	0.330
NEW ZEALAND JOURNAL OF ECOLOGY	14	0.330
POPULATION ECOLOGY	14	0.330
WETLANDS	14	0.330
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	13	0.306
ECOLOGICAL RESEARCH	13	0.306
ENVIRONMENTAL MANAGEMENT	13	0.306
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	13	0.306
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	13	0.306
EVOLUTIONARY ECOLOGY	13	0.306
FORESTS	13	0.306
INSECT CONSERVATION AND DIVERSITY	13	0.306
JOURNAL OF EXPERIMENTAL BOTANY	13	0.306
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	13	0.306
JOURNAL OF GREAT LAKES RESEARCH	13	0.306
LANDSCAPE AND URBAN PLANNING	13	0.306
PLANT PHYSIOLOGY	13	0.306
TREE PHYSIOLOGY	13	0.306
ENVIRONMENTAL MONITORING AND ASSESSMENT	12	0.283
HEREDITY	12	0.283
JOURNAL OF ENVIRONMENTAL QUALITY	12	0.283
PEDOBIOLOGIA	12	0.283
WATER RESEARCH	12	0.283
ANNALS OF FOREST SCIENCE	11	0.259
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	11	0.259
COMMUNITY ECOLOGY	11	0.259
CONSERVATION PHYSIOLOGY	11	0.259
ECOLOGY AND SOCIETY	11	0.259
ENVIRONMENTAL BIOLOGY OF FISHES	11	0.259
FRONTIERS IN ECOLOGY AND EVOLUTION	11	0.259
ISME JOURNAL	11	0.259
TREE GENETICS GENOMES	11	0.259
AGRICULTURAL AND FOREST METEOROLOGY	10	0.236
BMC PLANT BIOLOGY	10	0.236
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	10	0.236
MARINE ENVIRONMENTAL RESEARCH	10	0.236
PLANT CELL AND ENVIRONMENT	10	0.236
RESTORATION ECOLOGY	10	0.236
WEED RESEARCH	10	0.236
AOB PLANTS	9	0.212
ATMOSPHERIC ENVIRONMENT	9	0.212
ECOLOGICAL INFORMATICS	9	0.212
EVOLUTIONARY ECOLOGY RESEARCH	9	0.212
FORESTRY	9	0.212
JOURNAL FOR NATURE CONSERVATION	9	0.212
JOURNAL OF ARID ENVIRONMENTS	9	0.212
JOURNAL OF CHEMICAL ECOLOGY	9	0.212
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY	9	0.212
JOURNAL OF PALEOLIMNOLOGY	9	0.212
PALEOBIOLOGY	9	0.212
RIVER RESEARCH AND APPLICATIONS	9	0.212
WILDLIFE RESEARCH	9	0.212
ARCTIC ANTARCTIC AND ALPINE RESEARCH	8	0.188
AVIAN CONSERVATION AND ECOLOGY	8	0.188
BIRD CONSERVATION INTERNATIONAL	8	0.188
BOTANY	8	0.188
CANADIAN JOURNAL OF FOREST RESEARCH REVUE CANADIENNE DE RECHERCHE FORESTIERE	8	0.188
ECOHYDROLOGY	8	0.188
ENVIRONMENT INTERNATIONAL	8	0.188
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	8	0.188
FUNCTIONAL PLANT BIOLOGY	8	0.188
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY	8	0.188
MOLECULAR BREEDING	8	0.188
ORYX	8	0.188
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	8	0.188
SOUTHEASTERN NATURALIST	8	0.188
TROPICAL CONSERVATION SCIENCE	8	0.188
AFRICAN JOURNAL OF ECOLOGY	7	0.165
AMERICAN MIDLAND NATURALIST	7	0.165
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	7	0.165
ENVIRONMENTAL RESEARCH	7	0.165
ENVIRONMENTAL RESEARCH LETTERS	7	0.165
EUROPEAN JOURNAL OF SOIL BIOLOGY	7	0.165
JOURNAL OF FOREST RESEARCH	7	0.165
JOURNAL OF PLANT ECOLOGY	7	0.165
PHYTOPATHOLOGY	7	0.165
PLANT CELL	7	0.165
SCANDINAVIAN JOURNAL OF FOREST RESEARCH	7	0.165
URBAN ECOSYSTEMS	7	0.165
URBAN FORESTRY URBAN GREENING	7	0.165
AQUATIC BOTANY	6	0.141
AQUATIC SCIENCES	6	0.141
ARTHROPOD PLANT INTERACTIONS	6	0.141
CLIMATIC CHANGE	6	0.141
ECOTOXICOLOGY	6	0.141
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	6	0.141
FLORA	6	0.141
FOREST SYSTEMS	6	0.141
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	6	0.141
PLANT SYSTEMATICS AND EVOLUTION	6	0.141
SCIENTIA FORESTALIS	6	0.141
SOUTH AFRICAN JOURNAL OF BOTANY	6	0.141
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	6	0.141
AGROFORESTRY SYSTEMS	5	0.118
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	5	0.118
AQUATIC ECOLOGY	5	0.118
AQUATIC MICROBIAL ECOLOGY	5	0.118
BMC ECOLOGY	5	0.118
CHEMOSPHERE	5	0.118
CLIMATE RESEARCH	5	0.118
ECOLOGICAL COMPLEXITY	5	0.118
ENERGY POLICY	5	0.118
ENVIRONMENTAL HEALTH	5	0.118
ESTUARIES AND COASTS	5	0.118
EUPHYTICA	5	0.118
JOURNAL OF ENVIRONMENTAL MANAGEMENT	5	0.118
PHYSIOLOGIA PLANTARUM	5	0.118
PLANT BIOLOGY	5	0.118
PLANT ECOLOGY AND EVOLUTION	5	0.118
PLANT SPECIES BIOLOGY	5	0.118
RANGELAND ECOLOGY MANAGEMENT	5	0.118
SILVAE GENETICA	5	0.118
VEGETATION HISTORY AND ARCHAEOBOTANY	5	0.118
ANNALES ZOOLOGICI FENNICI	4	0.094
ANNALS OF FOREST RESEARCH	4	0.094
AQUATIC INVASIONS	4	0.094
ATMOSPHERIC CHEMISTRY AND PHYSICS	4	0.094
AUSTRALIAN FORESTRY	4	0.094
AUSTRALIAN JOURNAL OF BOTANY	4	0.094
BALTIC FORESTRY	4	0.094
BOREAL ENVIRONMENT RESEARCH	4	0.094
CERNE	4	0.094
CONSERVATION LETTERS	4	0.094
DENDROCHRONOLOGIA	4	0.094
ENVIRONMENTAL CONSERVATION	4	0.094
ENVIRONMENTAL MICROBIOLOGY REPORTS	4	0.094
EUROPEAN JOURNAL OF PLANT PATHOLOGY	4	0.094
GLOBAL BIOGEOCHEMICAL CYCLES	4	0.094
GLOBAL ECOLOGY AND CONSERVATION	4	0.094
IFOREST BIOGEOSCIENCES AND FORESTRY	4	0.094
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	4	0.094
INTERNATIONAL JOURNAL OF PLANT SCIENCES	4	0.094
INVASIVE PLANT SCIENCE AND MANAGEMENT	4	0.094
JOURNAL OF APPLIED REMOTE SENSING	4	0.094
JOURNAL OF PLANT DISEASES AND PROTECTION	4	0.094
MOLECULAR PLANT MICROBE INTERACTIONS	4	0.094
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE	4	0.094
PHYTOTAXA	4	0.094
PLANT BIOSYSTEMS	4	0.094
PLANT BREEDING	4	0.094
PLANT ECOLOGY DIVERSITY	4	0.094
PLANT GENOME	4	0.094
PLANT JOURNAL	4	0.094
POLISH JOURNAL OF ECOLOGY	4	0.094
REVISTA ARVORE	4	0.094
REVISTA MEXICANA DE BIODIVERSIDAD	4	0.094
SILVA FENNICA	4	0.094
WEED SCIENCE	4	0.094
WESTERN NORTH AMERICAN NATURALIST	4	0.094
ACTA AMAZONICA	3	0.071
ACTA BOTANICA BRASILICA	3	0.071
APPLICATIONS IN PLANT SCIENCES	3	0.071
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	3	0.071
BOTANY BOTANIQUE	3	0.071
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	3	0.071
CASTANEA	3	0.071
ECOHEALTH	3	0.071
ECOSCIENCE	3	0.071
ECOSYSTEM SERVICES	3	0.071
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	3	0.071
ENVIRONMENTAL EARTH SCIENCES	3	0.071
EUROPEAN JOURNAL OF PHYCOLOGY	3	0.071
HUMAN WILDLIFE INTERACTIONS	3	0.071
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT	3	0.071
JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY	3	0.071
JOURNAL OF NATURAL HISTORY	3	0.071
JOURNAL OF PHYCOLOGY	3	0.071
JOURNAL OF SYSTEMATICS AND EVOLUTION	3	0.071
LICHENOLOGIST	3	0.071
MARINE BIOLOGY RESEARCH	3	0.071
MICROBIAL ECOLOGY	3	0.071
MIRES AND PEAT	3	0.071
NEW FORESTS	3	0.071
NORTHEASTERN NATURALIST	3	0.071
PHYTOKEYS	3	0.071
PLANT AND CELL PHYSIOLOGY	3	0.071
PLANT BIOTECHNOLOGY JOURNAL	3	0.071
PLANT DISEASE	3	0.071
PLANT GENETIC RESOURCES CHARACTERIZATION AND UTILIZATION	3	0.071
SEED SCIENCE RESEARCH	3	0.071
SOIL SCIENCE AND PLANT NUTRITION	3	0.071
SYSTEMATICS AND BIODIVERSITY	3	0.071
TAXON	3	0.071
TUEXENIA	3	0.071
WATER AIR AND SOIL POLLUTION	3	0.071
ACTA BOTANICA CROATICA	2	0.047
ACTA BOTANICA GALLICA	2	0.047
ACTA SOCIETATIS BOTANICORUM POLONIAE	2	0.047
ALLGEMEINE FORST UND JAGDZEITUNG	2	0.047
ALPINE BOTANY	2	0.047
ANIMAL BIODIVERSITY AND CONSERVATION	2	0.047
ARCTIC	2	0.047
ATMOSPHERIC POLLUTION RESEARCH	2	0.047
AUSTRALIAN SYSTEMATIC BOTANY	2	0.047
BIOCHEMICAL SYSTEMATICS AND ECOLOGY	2	0.047
BIOENERGY RESEARCH	2	0.047
BREEDING SCIENCE	2	0.047
CANADIAN JOURNAL OF PLANT SCIENCE	2	0.047
CARIBBEAN JOURNAL OF SCIENCE	2	0.047
CHEMOECOLOGY	2	0.047
CIENCIA FLORESTAL	2	0.047
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	2	0.047
ECOGRAPHY	2	0.047
ECOLOGICAL ECONOMICS	2	0.047
ECOLOGICAL MONOGRAPHS	2	0.047
ECONOMIC BOTANY	2	0.047
ENVIRONMENTAL SCIENCE POLICY	2	0.047
EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS	2	0.047
FOLIA GEOBOTANICA	2	0.047
FOREST PATHOLOGY	2	0.047
FOREST POLICY AND ECONOMICS	2	0.047
FUNGAL ECOLOGY	2	0.047
GENETIC RESOURCES AND CROP EVOLUTION	2	0.047
GEOMICROBIOLOGY JOURNAL	2	0.047
HEALTH PHYSICS	2	0.047
INTERNATIONAL BIODETERIORATION BIODEGRADATION	2	0.047
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES	2	0.047
JOURNAL OF BRYOLOGY	2	0.047
JOURNAL OF CLEANER PRODUCTION	2	0.047
JOURNAL OF CONTAMINANT HYDROLOGY	2	0.047
JOURNAL OF FRESHWATER ECOLOGY	2	0.047
JOURNAL OF HYDROLOGIC ENGINEERING	2	0.047
JOURNAL OF INTEGRATIVE PLANT BIOLOGY	2	0.047
JOURNAL OF PLANT INTERACTIONS	2	0.047
JOURNAL OF PLANT RESEARCH	2	0.047
JOURNAL OF SOILS AND SEDIMENTS	2	0.047
LAND DEGRADATION DEVELOPMENT	2	0.047
NATURAL AREAS JOURNAL	2	0.047
NATURE CLIMATE CHANGE	2	0.047
NATUREZA CONSERVACAO	2	0.047
NORDIC JOURNAL OF BOTANY	2	0.047
NORTHWEST SCIENCE	2	0.047
NOVA HEDWIGIA	2	0.047
PALYNOLOGY	2	0.047
PHOTOSYNTHESIS RESEARCH	2	0.047
PHYTOCOENOLOGIA	2	0.047
PLANT CELL TISSUE AND ORGAN CULTURE	2	0.047
PLANT METHODS	2	0.047
PLANT PATHOLOGY	2	0.047
PLANTA DANINHA	2	0.047
POLAR RESEARCH	2	0.047
PRESLIA	2	0.047
RADIATION PROTECTION DOSIMETRY	2	0.047
RANGELAND JOURNAL	2	0.047
REVIEW OF PALAEOBOTANY AND PALYNOLOGY	2	0.047
REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE	2	0.047
REVISTA CHILENA DE HISTORIA NATURAL	2	0.047
RHODORA	2	0.047
RUSSIAN JOURNAL OF ECOLOGY	2	0.047
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH	2	0.047
SOUTHWESTERN NATURALIST	2	0.047
SYLWAN	2	0.047
SYSTEMATIC BOTANY	2	0.047
THEORETICAL POPULATION BIOLOGY	2	0.047
WATER SCIENCE AND TECHNOLOGY	2	0.047
WEED BIOLOGY AND MANAGEMENT	2	0.047
WEED TECHNOLOGY	2	0.047
WETLANDS ECOLOGY AND MANAGEMENT	2	0.047
WILDLIFE MONOGRAPHS	2	0.047
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	1	0.024
ACTA PHYSIOLOGIAE PLANTARUM	1	0.024
AEROBIOLOGIA	1	0.024
AMBIO	1	0.024
ANALES DEL JARDIN BOTANICO DE MADRID	1	0.024
ANNALES BOTANICI FENNICI	1	0.024
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES	1	0.024
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES VOL 39	1	0.024
ANTARCTIC SCIENCE	1	0.024
BIOLOGY AND ENVIRONMENT PROCEEDINGS OF THE ROYAL IRISH ACADEMY	1	0.024
BIOTA NEOTROPICA	1	0.024
BLUMEA	1	0.024
BOIS ET FORETS DES TROPIQUES	1	0.024
BOSQUE	1	0.024
BOTANICA MARINA	1	0.024
BOTANICAL REVIEW	1	0.024
BOTANICAL SCIENCES	1	0.024
BOTANICAL STUDIES	1	0.024
BRAZILIAN JOURNAL OF BOTANY	1	0.024
CALDASIA	1	0.024
CARBON MANAGEMENT	1	0.024
CHEMISTRY AND ECOLOGY	1	0.024
COASTAL MANAGEMENT	1	0.024
CONSERVATION GENETICS RESOURCES	1	0.024
CONTEMPORARY PROBLEMS OF ECOLOGY	1	0.024
CURRENT OPINION IN PLANT BIOLOGY	1	0.024
ECOLOGICAL MANAGEMENT RESTORATION	1	0.024
ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL	1	0.024
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	1	0.024
ENVIRONMENTAL HEALTH PERSPECTIVES	1	0.024
ENVIRONMENTAL REVIEWS	1	0.024
ENVIRONMENTAL SCIENCE PROCESSES IMPACTS	1	0.024
ENVIRONMENTAL SCIENCE TECHNOLOGY LETTERS	1	0.024
ENVIRONMENTAL TECHNOLOGY	1	0.024
EUROPEAN JOURNAL OF TAXONOMY	1	0.024
FIRE ECOLOGY	1	0.024
FORESTRY CHRONICLE	1	0.024
FOTTEA	1	0.024
FRESENIUS ENVIRONMENTAL BULLETIN	1	0.024
GAYANA BOTANICA	1	0.024
GEOCARTO INTERNATIONAL	1	0.024
GLOBAL ENVIRONMENTAL CHANGE HUMAN AND POLICY DIMENSIONS	1	0.024
HOLZFORSCHUNG	1	0.024
IN VITRO CELLULAR DEVELOPMENTAL BIOLOGY PLANT	1	0.024
INDIAN JOURNAL OF GENETICS AND PLANT BREEDING	1	0.024
INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT	1	0.024
INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION	1	0.024
ISRAEL JOURNAL OF ECOLOGY EVOLUTION	1	0.024
JOURNAL OF ENVIRONMENTAL ENGINEERING	1	0.024
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A TOXIC HAZARDOUS SUBSTANCES ENVIRONMENTAL ENGINEERING	1	0.024
JOURNAL OF FORESTRY	1	0.024
JOURNAL OF HAZARDOUS MATERIALS	1	0.024
JOURNAL OF HYDROINFORMATICS	1	0.024
JOURNAL OF MOUNTAIN SCIENCE	1	0.024
JOURNAL OF PHYTOPATHOLOGY	1	0.024
JOURNAL OF PLANT GROWTH REGULATION	1	0.024
JOURNAL OF PLANT NUTRITION	1	0.024
JOURNAL OF PLANT PHYSIOLOGY	1	0.024
JOURNAL OF SOIL AND WATER CONSERVATION	1	0.024
JOURNAL OF SUSTAINABLE FORESTRY	1	0.024
JOURNAL OF THE AIR WASTE MANAGEMENT ASSOCIATION	1	0.024
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES	1	0.024
JOURNAL OF WATER AND HEALTH	1	0.024
JOURNAL OF WOOD SCIENCE	1	0.024
LANDSCAPE AND ECOLOGICAL ENGINEERING	1	0.024
MADERA Y BOSQUES	1	0.024
MANAGEMENT OF BIOLOGICAL INVASIONS	1	0.024
MARINE BIODIVERSITY	1	0.024
MAYDICA	1	0.024
NEW ZEALAND JOURNAL OF BOTANY	1	0.024
NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ NAPOCA	1	0.024
PALAEOBIODIVERSITY AND PALAEOENVIRONMENTS	1	0.024
PHOTOSYNTHETICA	1	0.024
PHYCOLOGIA	1	0.024
PHYTOCHEMISTRY	1	0.024
PHYTOMEDICINE	1	0.024
PLANT MOLECULAR BIOLOGY	1	0.024
PLANT PATHOLOGY JOURNAL	1	0.024
PLANT SCIENCE	1	0.024
PLANTA	1	0.024
POLISH POLAR RESEARCH	1	0.024
REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	1	0.024
REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY VOL 230	1	0.024
SEED SCIENCE AND TECHNOLOGY	1	0.024
SOUTHERN FORESTS	1	0.024
SUSTAINABILITY	1	0.024
SUSTAINABILITY SCIENCE	1	0.024
TELOPEA	1	0.024
THEORETICAL AND EXPERIMENTAL PLANT PHYSIOLOGY	1	0.024
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY	1	0.024
TREE RING RESEARCH	1	0.024
TROPICAL ECOLOGY	1	0.024
TROPICAL PLANT BIOLOGY	1	0.024
TROPICAL PLANT PATHOLOGY	1	0.024
TURKISH JOURNAL OF AGRICULTURE AND FORESTRY	1	0.024
TURKISH JOURNAL OF BOTANY	1	0.024
WILEY INTERDISCIPLINARY REVIEWS WATER	1	0.024
WULFENIA	1	0.024
(0 records (0.000%) do not contain data in the field being analyzed.)
