#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2016
# Final Processing Date: 2020-12-03
# Final Processing Time: 09:55:17
# Spline RMSE gcc_mean: 0.00168
# Spline RMSE gcc_50: 0.00124
# Spline RMSE gcc_75: 0.00134
# Spline RMSE gcc_90: 0.00149
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,1000,rising,gcc_50,2014-11-24,2015-01-13,2015-02-04,2014-11-21,2015-01-09,2015-02-02,2014-11-28,2015-01-14,2015-02-05,0.31873,0.32694,0.34052,0.31371,0.36669
jasperridge,GR,1000,rising,gcc_50,2015-11-18,2016-01-04,2016-02-12,2015-11-15,2015-12-09,2016-02-09,2015-11-22,2016-01-05,2016-02-13,0.31643,0.32755,0.34628,0.30947,0.38241
jasperridge,GR,1000,rising,gcc_mean,2013-02-18,2013-03-04,2013-03-18,2013-02-03,2013-03-02,2013-03-16,2013-02-23,2013-03-07,2013-03-20,0.32541,0.3331,0.3472,0.32028,0.37321
jasperridge,GR,1000,rising,gcc_mean,2014-02-14,2014-02-27,2014-03-21,2014-02-12,2014-02-25,2014-03-18,2014-02-17,2014-03-01,2014-03-22,0.32104,0.33151,0.34918,0.31473,0.3824
jasperridge,GR,1000,rising,gcc_mean,2014-11-25,2015-01-13,2015-02-05,2014-11-22,2015-01-10,2015-02-03,2014-11-29,2015-01-14,2015-02-07,0.3179,0.32611,0.34049,0.31276,0.36762
jasperridge,GR,1000,rising,gcc_mean,2015-11-18,2016-01-04,2016-02-12,2015-11-15,2015-12-08,2016-02-09,2015-11-23,2016-01-09,2016-02-14,0.316,0.32723,0.34608,0.30913,0.38207
jasperridge,GR,1000,falling,gcc_90,2016-05-13,2016-05-06,2016-04-27,2016-05-15,2016-05-07,2016-04-29,2016-05-11,2016-05-04,2016-04-26,0.32371,0.33512,0.36036,0.31563,0.40124
jasperridge,GR,1000,falling,gcc_90,2015-05-03,2015-04-28,2015-04-20,2015-05-04,2015-04-29,2015-04-21,2015-05-01,2015-04-26,2015-04-19,0.32343,0.33204,0.34985,0.31771,0.38111
jasperridge,GR,1000,falling,gcc_90,2014-05-14,2014-05-09,2014-05-02,2014-05-15,2014-05-10,2014-05-04,2014-05-12,2014-05-07,2014-05-01,0.32257,0.33342,0.3572,0.31648,0.39105
jasperridge,GR,1000,falling,gcc_90,2013-05-01,2013-04-27,2013-04-21,2013-05-02,2013-04-28,2013-04-23,2013-04-29,2013-04-25,2013-04-20,0.32365,0.3322,0.35098,0.31886,0.37892
