#
# Transition date estimate for pace
#
# Site: pace
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2021
# Final Processing Date: 2021-06-25
# Final Processing Time: 12:24:09
# Spline RMSE gcc_mean: 0.00209
# Spline RMSE gcc_50: 0.0021
# Spline RMSE gcc_75: 0.00214
# Spline RMSE gcc_90: 0.00253
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
pace,DB,1000,rising,gcc_90,2018-04-16,2018-04-22,2018-04-29,2018-04-14,2018-04-21,2018-04-27,2018-04-18,2018-04-24,2018-04-30,0.3246,0.33829,0.37462,0.31427,0.42388
pace,DB,1000,rising,gcc_90,2019-04-07,2019-04-11,2019-04-17,2019-04-06,2019-04-10,2019-04-15,2019-04-09,2019-04-13,2019-04-18,0.32382,0.33815,0.37384,0.31311,0.42361
pace,DB,1000,rising,gcc_90,2020-03-31,2020-04-06,2020-04-14,2020-03-28,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32621,0.33823,0.36536,0.31835,0.40531
pace,DB,1000,rising,gcc_90,2021-04-06,2021-04-11,2021-04-18,2021-04-04,2021-04-10,2021-04-16,2021-04-08,2021-04-13,2021-04-19,0.32758,0.34116,0.36612,0.31915,0.4096
pace,DB,1000,rising,gcc_75,2018-04-16,2018-04-23,2018-04-29,2018-04-15,2018-04-22,2018-04-27,2018-04-18,2018-04-24,2018-04-30,0.32319,0.34009,0.37031,0.3133,0.42121
pace,DB,1000,rising,gcc_75,2019-04-07,2019-04-11,2019-04-17,2019-04-06,2019-04-10,2019-04-15,2019-04-09,2019-04-13,2019-04-18,0.32186,0.33524,0.37084,0.3122,0.41918
pace,DB,1000,rising,gcc_75,2020-03-31,2020-04-06,2020-04-14,2020-03-29,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32482,0.33599,0.36024,0.31763,0.40035
pace,DB,1000,rising,gcc_75,2021-04-06,2021-04-11,2021-04-18,2021-04-04,2021-04-10,2021-04-17,2021-04-08,2021-04-12,2021-04-19,0.32627,0.3398,0.36244,0.31811,0.40651
pace,DB,1000,rising,gcc_50,2018-04-17,2018-04-24,2018-04-30,2018-04-16,2018-04-23,2018-04-28,2018-04-20,2018-04-25,2018-05-01,0.3214,0.33812,0.37007,0.31246,0.41824
pace,DB,1000,rising,gcc_50,2019-04-07,2019-04-12,2019-04-17,2019-04-06,2019-04-11,2019-04-16,2019-04-09,2019-04-13,2019-04-18,0.31974,0.33587,0.36428,0.3114,0.41465
pace,DB,1000,rising,gcc_50,2020-04-01,2020-04-07,2020-04-14,2020-03-29,2020-04-06,2020-04-13,2020-04-04,2020-04-08,2020-04-15,0.32421,0.33619,0.3561,0.31662,0.39527
pace,DB,1000,rising,gcc_50,2021-04-06,2021-04-11,2021-04-19,2021-04-05,2021-04-10,2021-04-17,2021-04-08,2021-04-13,2021-04-20,0.32416,0.33652,0.36139,0.31733,0.40231
pace,DB,1000,rising,gcc_mean,2018-04-17,2018-04-23,2018-04-30,2018-04-15,2018-04-22,2018-04-28,2018-04-19,2018-04-25,2018-05-01,0.32234,0.33563,0.36975,0.31234,0.41652
pace,DB,1000,rising,gcc_mean,2019-04-07,2019-04-12,2019-04-17,2019-04-06,2019-04-11,2019-04-16,2019-04-09,2019-04-13,2019-04-18,0.31965,0.33626,0.36524,0.31067,0.41424
pace,DB,1000,rising,gcc_mean,2020-03-31,2020-04-06,2020-04-14,2020-03-28,2020-04-05,2020-04-12,2020-04-03,2020-04-08,2020-04-15,0.32362,0.33398,0.35719,0.31646,0.39535
pace,DB,1000,rising,gcc_mean,2021-04-06,2021-04-11,2021-04-19,2021-04-05,2021-04-10,2021-04-17,2021-04-08,2021-04-13,2021-04-20,0.32414,0.33626,0.36164,0.31731,0.40162
pace,DB,1000,falling,gcc_90,2020-11-06,2020-10-22,2020-10-09,2020-11-07,2020-10-29,2020-10-12,2020-11-03,2020-10-19,2020-10-05,0.32372,0.33658,0.35605,0.31788,0.39385
pace,DB,1000,falling,gcc_90,2019-11-06,2019-10-29,2019-10-19,2019-11-07,2019-10-31,2019-10-22,2019-11-04,2019-10-27,2019-10-17,0.33466,0.34723,0.36852,0.32747,0.40671
pace,DB,1000,falling,gcc_90,2018-11-04,2018-10-30,2018-10-17,2018-11-06,2018-10-31,2018-10-20,2018-11-02,2018-10-28,2018-10-16,0.3177,0.33328,0.3615,0.3075,0.41197
pace,DB,1000,falling,gcc_90,2017-11-07,2017-11-02,2017-10-19,2017-11-09,2017-11-03,2017-10-23,2017-11-05,2017-10-31,2017-10-02,0.3287,0.34001,0.36306,0.32046,0.40476
