#
# Transition date estimate for pace
#
# Site: pace
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2021
# Final Processing Date: 2021-06-25
# Final Processing Time: 12:24:09
# Spline RMSE gcc_mean: 0.00209
# Spline RMSE gcc_50: 0.0021
# Spline RMSE gcc_75: 0.00214
# Spline RMSE gcc_90: 0.00253
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
pace,DB,1000,falling,gcc_75,2020-11-05,2020-10-22,2020-10-08,2020-11-07,2020-10-26,2020-10-11,2020-11-03,2020-10-20,2020-10-06,0.32419,0.33516,0.35488,0.31692,0.3918
pace,DB,1000,falling,gcc_75,2019-11-05,2019-10-27,2019-10-16,2019-11-06,2019-10-29,2019-10-19,2019-11-02,2019-10-25,2019-10-14,0.33559,0.34815,0.36722,0.32988,0.40368
pace,DB,1000,falling,gcc_75,2018-11-04,2018-10-30,2018-10-17,2018-11-05,2018-10-31,2018-10-19,2018-11-02,2018-10-28,2018-10-16,0.31592,0.33104,0.35921,0.30721,0.40904
pace,DB,1000,falling,gcc_75,2017-11-06,2017-10-31,2017-10-20,2017-11-07,2017-11-01,2017-10-23,2017-11-04,2017-10-29,2017-10-02,0.32933,0.34113,0.3648,0.32188,0.40189
pace,DB,1000,falling,gcc_50,2020-11-05,2020-10-22,2020-10-07,2020-11-06,2020-10-27,2020-10-10,2020-11-02,2020-10-19,2020-10-05,0.32214,0.33319,0.3525,0.31589,0.38858
pace,DB,1000,falling,gcc_50,2019-11-04,2019-10-27,2019-10-14,2019-11-05,2019-10-28,2019-10-16,2019-11-01,2019-10-24,2019-10-12,0.33545,0.34585,0.36512,0.32896,0.40094
pace,DB,1000,falling,gcc_50,2018-11-04,2018-10-30,2018-10-17,2018-11-05,2018-10-31,2018-10-19,2018-11-02,2018-10-28,2018-10-15,0.31422,0.32893,0.35622,0.30611,0.40551
pace,DB,1000,falling,gcc_50,2017-11-06,2017-10-31,2017-10-17,2017-11-07,2017-11-01,2017-10-23,2017-11-04,2017-10-28,2017-10-02,0.32767,0.339,0.3601,0.32048,0.3987
pace,DB,1000,falling,gcc_mean,2020-11-05,2020-10-21,2020-10-08,2020-11-06,2020-10-25,2020-10-11,2020-11-03,2020-10-19,2020-10-05,0.322,0.33336,0.35175,0.31522,0.38824
pace,DB,1000,falling,gcc_mean,2019-11-04,2019-10-28,2019-10-15,2019-11-06,2019-10-29,2019-10-18,2019-11-02,2019-10-25,2019-10-13,0.33542,0.34473,0.36457,0.32872,0.39906
pace,DB,1000,falling,gcc_mean,2018-11-04,2018-10-30,2018-10-17,2018-11-05,2018-10-31,2018-10-20,2018-11-02,2018-10-28,2018-10-16,0.31384,0.32854,0.35634,0.30609,0.40424
pace,DB,1000,falling,gcc_mean,2017-11-07,2017-11-01,2017-10-19,2017-11-09,2017-11-02,2017-10-23,2017-11-05,2017-10-30,2017-10-02,0.32542,0.3373,0.3586,0.31781,0.39749
