#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2020
# Final Processing Date: 2020-12-03
# Final Processing Time: 10:03:30
# Spline RMSE gcc_mean: 0.00232
# Spline RMSE gcc_50: 0.002
# Spline RMSE gcc_75: 0.00139
# Spline RMSE gcc_90: 0.00141
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,2000,rising,gcc_90,2017-11-23,2018-01-06,2018-03-08,2017-11-21,2018-01-05,2018-03-06,2017-12-31,2018-01-08,2018-03-09,0.34323,0.35328,0.37347,0.33672,0.40724
jasperridge,GR,2000,rising,gcc_90,2018-12-06,2019-01-17,2019-03-07,2018-11-30,2019-01-14,2019-03-03,2018-12-11,2019-01-26,2019-03-10,0.34214,0.35408,0.37417,0.3343,0.41347
jasperridge,GR,2000,rising,gcc_90,2019-12-12,2020-01-12,2020-03-12,2019-12-11,2020-01-10,2020-03-09,2019-12-14,2020-01-15,2020-03-14,0.34587,0.35709,0.37732,0.3383,0.41595
jasperridge,GR,2000,rising,gcc_75,2018-01-02,2018-01-09,2018-03-09,2018-01-01,2018-01-08,2018-03-07,2018-01-04,2018-01-12,2018-03-10,0.34701,0.35622,0.37364,0.34191,0.40275
jasperridge,GR,2000,rising,gcc_75,2019-01-13,2019-02-24,2019-03-17,2019-01-10,2019-01-31,2019-03-14,2019-01-17,2019-02-25,2019-03-18,0.35037,0.36051,0.3786,0.34412,0.41057
jasperridge,GR,2000,rising,gcc_75,2019-12-12,2020-01-12,2020-01-28,2019-12-11,2020-01-09,2020-01-27,2019-12-14,2020-01-15,2020-03-13,0.34401,0.35582,0.37494,0.3371,0.41261
jasperridge,GR,2000,rising,gcc_50,2018-01-01,2018-01-08,2018-03-09,2017-12-31,2018-01-07,2018-03-07,2018-01-04,2018-01-11,2018-03-10,0.34419,0.35329,0.3707,0.3393,0.39948
jasperridge,GR,2000,rising,gcc_50,2019-01-13,2019-02-24,2019-03-17,2019-01-10,2019-01-31,2019-03-15,2019-01-16,2019-02-25,2019-03-18,0.34952,0.35908,0.37553,0.34315,0.4072
jasperridge,GR,2000,rising,gcc_50,2019-12-12,2020-01-12,2020-03-11,2019-12-11,2020-01-09,2020-03-08,2019-12-14,2020-01-15,2020-03-13,0.34242,0.35479,0.3733,0.33708,0.40899
jasperridge,GR,2000,rising,gcc_mean,2018-01-03,2018-01-10,2018-03-09,2018-01-02,2018-01-08,2018-03-08,2018-01-05,2018-01-13,2018-03-10,0.34618,0.35497,0.37014,0.34053,0.39941
jasperridge,GR,2000,rising,gcc_mean,2019-01-12,2019-02-23,2019-03-17,2019-01-10,2019-02-01,2019-03-15,2019-01-16,2019-02-24,2019-03-18,0.34837,0.35836,0.37544,0.34253,0.40722
jasperridge,GR,2000,rising,gcc_mean,2019-12-12,2020-01-12,2020-03-11,2019-12-11,2020-01-09,2020-03-08,2019-12-14,2020-01-15,2020-03-13,0.34189,0.35443,0.3729,0.33638,0.40939
jasperridge,GR,2000,falling,gcc_90,2020-05-15,2020-05-12,2020-05-06,2020-05-16,2020-05-13,2020-05-08,2020-05-14,2020-05-10,2020-05-05,0.34767,0.3577,0.38852,0.33866,0.42935
jasperridge,GR,2000,falling,gcc_90,2019-05-11,2019-05-06,2019-04-30,2019-05-12,2019-05-07,2019-05-01,2019-05-09,2019-05-04,2019-04-29,0.34435,0.35593,0.38303,0.3363,0.42528
jasperridge,GR,2000,falling,gcc_90,2018-05-17,2018-05-10,2018-05-04,2018-05-18,2018-05-11,2018-05-06,2018-05-14,2018-05-09,2018-05-03,0.34294,0.35587,0.38023,0.3354,0.41982
jasperridge,GR,2000,falling,gcc_90,2017-06-28,2017-06-11,2017-05-09,2017-07-02,2017-06-13,2017-05-11,2017-06-23,2017-06-08,2017-05-08,0.34059,0.35082,0.36994,0.33393,0.40238
jasperridge,GR,2000,falling,gcc_75,2020-05-15,2020-05-12,2020-05-06,2020-05-16,2020-05-13,2020-05-07,2020-05-14,2020-05-10,2020-05-05,0.34692,0.35652,0.38585,0.33813,0.42781
jasperridge,GR,2000,falling,gcc_75,2019-05-10,2019-05-06,2019-04-30,2019-05-11,2019-05-07,2019-05-01,2019-05-08,2019-05-04,2019-04-29,0.34378,0.3538,0.38081,0.33604,0.42295
jasperridge,GR,2000,falling,gcc_75,2018-05-17,2018-05-10,2018-05-04,2018-05-20,2018-05-11,2018-05-06,2018-05-15,2018-05-09,2018-05-03,0.34218,0.35433,0.37851,0.3339,0.41706
jasperridge,GR,2000,falling,gcc_75,2017-07-03,2017-06-12,2017-05-10,2017-07-07,2017-06-14,2017-05-12,2017-06-28,2017-06-09,2017-05-09,0.33795,0.34839,0.36592,0.3314,0.39974
jasperridge,GR,2000,falling,gcc_50,2020-05-16,2020-05-11,2020-05-06,2020-05-17,2020-05-12,2020-05-07,2020-05-14,2020-05-10,2020-05-05,0.34267,0.35737,0.38146,0.33524,0.42488
jasperridge,GR,2000,falling,gcc_50,2019-05-10,2019-05-05,2019-04-30,2019-05-11,2019-05-06,2019-05-01,2019-05-08,2019-05-04,2019-04-29,0.34248,0.35512,0.37699,0.33528,0.41858
jasperridge,GR,2000,falling,gcc_50,2018-05-17,2018-05-10,2018-05-04,2018-05-18,2018-05-11,2018-05-05,2018-05-14,2018-05-09,2018-05-03,0.34019,0.35211,0.37542,0.33298,0.41367
jasperridge,GR,2000,falling,gcc_50,2017-07-04,2017-06-13,2017-05-09,2017-07-09,2017-06-15,2017-05-11,2017-06-28,2017-06-09,2017-05-08,0.33699,0.34641,0.36563,0.33037,0.39691
jasperridge,GR,2000,falling,gcc_mean,2020-05-15,2020-05-11,2020-05-06,2020-05-16,2020-05-12,2020-05-07,2020-05-13,2020-05-10,2020-05-05,0.34451,0.3575,0.38164,0.3376,0.42392
jasperridge,GR,2000,falling,gcc_mean,2019-05-10,2019-05-05,2019-04-30,2019-05-11,2019-05-06,2019-05-01,2019-05-08,2019-05-04,2019-04-29,0.34256,0.3554,0.37708,0.33505,0.41832
